Term Locale,Term Category,Term,Alias,Case Sensitive
en-us,Legal - Real Estate,Builder Upgrades,,FALSE
en-us,Legal - Real Estate,Building and Loan Association,,FALSE
en-us,Legal - Real Estate,Building Code,,FALSE
en-us,Legal - Real Estate,Building Inspector,,FALSE
en-us,Legal - Real Estate,Building Line Or Setback,,FALSE
en-us,Legal - Real Estate,Building Moratorium,,FALSE
en-us,Legal - Real Estate,Building Paper,,FALSE
en-us,Legal - Real Estate,Building Permit,,FALSE
en-us,Legal - Real Estate,Building Restrictions,,FALSE
en-us,Legal - Real Estate,Built-Ins,,FALSE
en-us,Legal - Real Estate,Bundle of Rights,,FALSE
en-us,Legal - Real Estate,Bungalow,,FALSE
en-us,Legal - Real Estate,Buy-Down Mortgage,,FALSE
en-us,Legal - Real Estate,Buyer Broker,,FALSE
en-us,Legal - Real Estate,Buyer's Market,,FALSE
en-us,Legal - Real Estate,Buyer's Remorse,,FALSE
en-us,Legal - Real Estate,Bylaws,,FALSE
en-us,Legal - Real Estate,Call Option,,FALSE
en-us,Legal - Real Estate,Cancellation Clause,,FALSE
en-us,Legal - Real Estate,Cantilever,,FALSE
en-us,Legal - Real Estate,Cap,,FALSE
en-us,Legal - Real Estate,Cap Rate,,FALSE
en-us,Legal - Real Estate,Cape Cod Style,,FALSE
en-us,Legal - Real Estate,Capital,,FALSE
en-us,Legal - Real Estate,Capital Expenditure,,FALSE
en-us,Legal - Real Estate,Capital Gains,,FALSE
en-us,Legal - Real Estate,Capital Gains Tax,,FALSE
en-us,Legal - Real Estate,Capital Improvement,,FALSE
en-us,Legal - Real Estate,Capitalization,,FALSE
en-us,Legal - Real Estate,Caravan,,FALSE
en-us,Legal - Real Estate,Cash Flow,,FALSE
en-us,Legal - Real Estate,Cash-On-Cash Return,C on C,FALSE
en-us,Legal - Real Estate,Cash-Out Refinance,,FALSE
en-us,Legal - Real Estate,Cash Return,,FALSE
en-us,Legal - Real Estate,Cashier's Check,,FALSE
en-us,Legal - Real Estate,Caveat,,FALSE
en-us,Legal - Real Estate,Caveat Emptor,,FALSE
en-us,Legal - Real Estate,Certificate of Deposit,CD,FALSE
en-us,Legal - Real Estate,Certificate of Deposit Index,,FALSE
en-us,Legal - Real Estate,Certificate of Eligibility,,FALSE
en-us,Legal - Real Estate,Certificate of Occupancy,,FALSE
en-us,Legal - Real Estate,Certificate of Sale,,FALSE
en-us,Legal - Real Estate,Certificate of Title,,FALSE
en-us,Legal - Real Estate,Chain of Title,,FALSE
en-us,Legal - Real Estate,Change Frequency,,FALSE
en-us,Legal - Real Estate,Change Order,,FALSE
en-us,Legal - Real Estate,Chattel Mortgage,,FALSE
en-us,Legal - Real Estate,Chimney Back,,FALSE
en-us,Legal - Real Estate,Classified Property Tax,,FALSE
en-us,Legal - Real Estate,Clear Title,,FALSE
en-us,Legal - Real Estate,Closing,,FALSE
