Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,US State Courts,41,Court of first instance,Alabama,Circuit Court,41st Circuit,
en-US,US State Courts,42,Intermediate appellate court,Alabama,Appellate Court,Alabama Court of Civil Appeals,Alabama Court of Civil Appeals
en-US,US State Courts,43,Intermediate appellate court,Alabama,Appellate Court,Alabama Court of Criminal Appeals,Alabama Court of Criminal Appeals
en-US,US State Courts,44,Court of last resort,Alabama,Supreme Court,Supreme Court of Alabama,Alabama Supreme Court
en-US,US State Courts,46,Intermediate appellate court,Alaska,Appellate Court,Alaska Court of Appeals,Alaska Court of Appeals
en-US,US State Courts,45,Court of first instance,Alaska,Superior Court,First District Court,Alaska District 01; District 1
en-US,US State Courts,45,Court of first instance,Alaska,Superior Court,Second District Court,Alaska District 02; District 2
en-US,US State Courts,45,Court of first instance,Alaska,Superior Court,Third District Court,Alaska District 03; District 3
en-US,US State Courts,45,Court of first instance,Alaska,Superior Court,Fourth District Court,Alaska District 04; District 4
en-US,US State Courts,47,Court of last resort,Alaska,Supreme Court,Alaska Supreme Court,Alabama Supreme Court
en-US,US State Courts,#REF!,Court of last resort,American Samoa,Supreme Court,High Court of American Samoa,
en-US,US State Courts,49,Intermediate appellate court,Arizona,Court of Appeals,"Arizona Court of Appeals, Division One",Division One Court of Appeals
en-US,US State Courts,49,Intermediate appellate court,Arizona,Court of Appeals,"Arizona Court of Appeals, Division Two",Division Two Court of Appeals
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Yavapai County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Yuma County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Apache County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Cochise County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Coconino County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Gila County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Graham County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Greenlee County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,La Paz County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Maricopa County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Mohave County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Navajo County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Pima County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Pinal County Superior Court,
en-US,US State Courts,48,Court of first instance,Arizona,Superior Court,Santa Cruz County Superior Court,
en-US,US State Courts,50,Court of last resort,Arizona,Supreme Court,Arizona Supreme Court,Arizona Supreme Court
en-US,US State Courts,51,Court of first instance,Arkansas,Circuit Court,1st Judicial Circuit,
en-US,US State Courts,52,Court of first instance,Arkansas,Circuit Court,2nd Judicial Circuit,
en-US,US State Courts,53,Court of first instance,Arkansas,Circuit Court,3rd Judicial Circuit,
en-US,US State Courts,54,Court of first instance,Arkansas,Circuit Court,4th Judicial Circuit,
en-US,US State Courts,55,Court of first instance,Arkansas,Circuit Court,5th Judicial Circuit,
en-US,US State Courts,56,Court of first instance,Arkansas,Circuit Court,6th Judicial Circuit,
en-US,US State Courts,57,Court of first instance,Arkansas,Circuit Court,7th Judicial Circuit,
en-US,US State Courts,58,Court of first instance,Arkansas,Circuit Court,8th North Judicial Circuit,
en-US,US State Courts,59,Court of first instance,Arkansas,Circuit Court,8th South Judicial Circuit,
en-US,US State Courts,60,Court of first instance,Arkansas,Circuit Court,9th East Judicial Circuit,
en-US,US State Courts,61,Court of first instance,Arkansas,Circuit Court,9th West Judicial Circuit,
en-US,US State Courts,62,Court of first instance,Arkansas,Circuit Court,10th Judicial Circuit,
en-US,US State Courts,63,Court of first instance,Arkansas,Circuit Court,11th East Judicial Circuit,
en-US,US State Courts,64,Court of first instance,Arkansas,Circuit Court,11th West Judicial Circuit,
en-US,US State Courts,65,Court of first instance,Arkansas,Circuit Court,12th Judicial Circuit,
en-US,US State Courts,66,Court of first instance,Arkansas,Circuit Court,13th Judicial Circuit,
en-US,US State Courts,67,Court of first instance,Arkansas,Circuit Court,14th Judicial Circuit,
en-US,US State Courts,68,Court of first instance,Arkansas,Circuit Court,15th Judicial Circuit,
en-US,US State Courts,69,Court of first instance,Arkansas,Circuit Court,16th Judicial Circuit,
en-US,US State Courts,70,Court of first instance,Arkansas,Circuit Court,17th Judicial Circuit,
en-US,US State Courts,71,Court of first instance,Arkansas,Circuit Court,18th East Judicial Circuit,
en-US,US State Courts,72,Court of first instance,Arkansas,Circuit Court,18th West Judicial Circuit,
en-US,US State Courts,73,Court of first instance,Arkansas,Circuit Court,19th East Judicial Circuit,
en-US,US State Courts,74,Court of first instance,Arkansas,Circuit Court,19th West Judicial Circuit,
en-US,US State Courts,75,Court of first instance,Arkansas,Circuit Court,20th Judicial Circuit,
en-US,US State Courts,76,Court of first instance,Arkansas,Circuit Court,21st Judicial Circuit,
en-US,US State Courts,77,Court of first instance,Arkansas,Circuit Court,22nd Judicial Circuit,
en-US,US State Courts,78,Court of first instance,Arkansas,Circuit Court,23rd Judicial Circuit,
en-US,US State Courts,79,Intermediate appellate court,Arkansas,Appellate Court,Arkansas Court of Appeals,Arkansas Court of Appeals
en-US,US State Courts,80,Court of last resort,Arkansas,Supreme Court,Arkansas Supreme Court,Arkansas Supreme Court
en-US,US State Courts,81,Intermediate appellate court,California,Appellate Court,First District,California Court of Appeal for the First District
en-US,US State Courts,82,Intermediate appellate court,California,Appellate Court,Second District,California Court of Appeal for the Second District
en-US,US State Courts,83,Intermediate appellate court,California,Appellate Court,Third District,California Court of Appeal for the Third District
en-US,US State Courts,84,Intermediate appellate court,California,Appellate Court,Fourth District,California Court of Appeal for the Fourth District
en-US,US State Courts,85,Intermediate appellate court,California,Appellate Court,Fifth District ,California Court of Appeal for the Fifth District 
en-US,US State Courts,86,Intermediate appellate court,California,Appellate Court,Sixth District ,California Court of Appeal for the Sixth District 
en-US,US State Courts,87,Court of first instance,California,Superior Court,Alameda County Superior Court,
en-US,US State Courts,88,Court of first instance,California,Superior Court,Alpine County Superior Court,
en-US,US State Courts,89,Court of first instance,California,Superior Court,Amador County Superior Court,
en-US,US State Courts,90,Court of first instance,California,Superior Court,Butte County Superior Court,
en-US,US State Courts,91,Court of first instance,California,Superior Court,Calaveras County Superior Court,
en-US,US State Courts,92,Court of first instance,California,Superior Court,Colusa County Superior Court,
en-US,US State Courts,93,Court of first instance,California,Superior Court,Contra Costa County Superior Court,
en-US,US State Courts,94,Court of first instance,California,Superior Court,Del Norte County Superior Court,
en-US,US State Courts,95,Court of first instance,California,Superior Court,El Dorado County Superior Court,
en-US,US State Courts,96,Court of first instance,California,Superior Court,Fresno County Superior Court,
en-US,US State Courts,97,Court of first instance,California,Superior Court,Glenn County Superior Court,
en-US,US State Courts,98,Court of first instance,California,Superior Court,Humboldt County Superior Court,
en-US,US State Courts,99,Court of first instance,California,Superior Court,Imperial County Superior Court,
en-US,US State Courts,100,Court of first instance,California,Superior Court,Inyo County Superior Court,
en-US,US State Courts,101,Court of first instance,California,Superior Court,Kern County Superior Court,
en-US,US State Courts,102,Court of first instance,California,Superior Court,Kings County Superior Court,
en-US,US State Courts,103,Court of first instance,California,Superior Court,Lake County Superior Court,
en-US,US State Courts,104,Court of first instance,California,Superior Court,Lassen County Superior Court,
en-US,US State Courts,105,Court of first instance,California,Superior Court,Los Angeles County Superior Court,
en-US,US State Courts,106,Court of first instance,California,Superior Court,Madera County Superior Court,
en-US,US State Courts,107,Court of first instance,California,Superior Court,Marin County Superior Court,
en-US,US State Courts,108,Court of first instance,California,Superior Court,Mariposa County Superior Court,
en-US,US State Courts,109,Court of first instance,California,Superior Court,Mendocino County Superior Court,
en-US,US State Courts,110,Court of first instance,California,Superior Court,Merced County Superior Court,
en-US,US State Courts,111,Court of first instance,California,Superior Court,Modoc County Superior Court,
en-US,US State Courts,112,Court of first instance,California,Superior Court,Mono County Superior Court,
en-US,US State Courts,113,Court of first instance,California,Superior Court,Monterey County Superior Court,
en-US,US State Courts,114,Court of first instance,California,Superior Court,Napa County Superior Court,
en-US,US State Courts,115,Court of first instance,California,Superior Court,Nevada County Superior Court,
en-US,US State Courts,116,Court of first instance,California,Superior Court,Orange County Superior Court,
en-US,US State Courts,117,Court of first instance,California,Superior Court,Placer County Superior Court,
en-US,US State Courts,118,Court of first instance,California,Superior Court,Plumas County Superior Court,
en-US,US State Courts,119,Court of first instance,California,Superior Court,Riverside County Superior Court,
en-US,US State Courts,120,Court of first instance,California,Superior Court,Sacramento County Superior Court,
en-US,US State Courts,121,Court of first instance,California,Superior Court,San Benito County Superior Court,
en-US,US State Courts,122,Court of first instance,California,Superior Court,San Bernardino County Superior Court,
en-US,US State Courts,123,Court of first instance,California,Superior Court,San Diego County Superior Court,
en-US,US State Courts,124,Court of first instance,California,Superior Court,San Francisco County Superior Court,
en-US,US State Courts,125,Court of first instance,California,Superior Court,San Joaquin County Superior Court,
en-US,US State Courts,126,Court of first instance,California,Superior Court,San Luis Obispo County Superior Court,
en-US,US State Courts,127,Court of first instance,California,Superior Court,San Mateo County Superior Court,
en-US,US State Courts,128,Court of first instance,California,Superior Court,Santa Barbara County Superior Court,
en-US,US State Courts,129,Court of first instance,California,Superior Court,Santa Clara County Superior Court,
en-US,US State Courts,130,Court of first instance,California,Superior Court,Santa Cruz County Superior Court,
en-US,US State Courts,131,Court of first instance,California,Superior Court,Shasta County Superior Court,
en-US,US State Courts,132,Court of first instance,California,Superior Court,Sierra County Superior Court,
en-US,US State Courts,133,Court of first instance,California,Superior Court,Siskiyou County Superior Court,
en-US,US State Courts,134,Court of first instance,California,Superior Court,Solano County Superior Court,
en-US,US State Courts,135,Court of first instance,California,Superior Court,Sonoma County Superior Court,
en-US,US State Courts,136,Court of first instance,California,Superior Court,Stanislaus County Superior Court,
en-US,US State Courts,137,Court of first instance,California,Superior Court,Sutter County Superior Court,
en-US,US State Courts,138,Court of first instance,California,Superior Court,Tehama County Superior Court,
en-US,US State Courts,139,Court of first instance,California,Superior Court,Trinity County Superior Court,
en-US,US State Courts,140,Court of first instance,California,Superior Court,Tulare County Superior Court,
en-US,US State Courts,141,Court of first instance,California,Superior Court,Tuolumne County Superior Court,
en-US,US State Courts,142,Court of first instance,California,Superior Court,Ventura County Superior Court,
en-US,US State Courts,143,Court of first instance,California,Superior Court,Yolo County Superior Court,
en-US,US State Courts,144,Court of first instance,California,Superior Court,Yuba County Superior Court,
en-US,US State Courts,145,Court of last resort,California,Supreme Court,Supreme Court of California,Supreme Court of California
