Term Locale,Term Category,Act Alias Name,Act Alias Year,Act Identity Name,Act Identity Year,Case Sensitive
en-US,Geopolitcal - Acts,Clean Air Planning,2003,,,FALSE
en-US,Geopolitcal - Acts,Clean Power,2002,,,FALSE
en-US,Geopolitcal - Acts,Clean Power,2003,,,FALSE
en-US,Geopolitcal - Acts,Clean Water,1977,,,FALSE
en-US,Geopolitcal - Acts,Clear Skies,2003,,,FALSE
en-US,Geopolitcal - Acts,Climate Stewardship,2003,,,FALSE
en-US,Geopolitcal - Acts,Clinical Laboratory Improvement,1988,,,FALSE
en-US,Geopolitcal - Acts,Coal Industry Retiree Health Benefit,1992,,,FALSE
en-US,Geopolitcal - Acts,Coal Mine Safety and Health,1969,,,FALSE
en-US,Geopolitcal - Acts,Coast Guard Authorization,1996,,,FALSE
en-US,Geopolitcal - Acts,Commodity Exchange,1936,,,FALSE
en-US,Geopolitcal - Acts,Commodity Futures Trading Commission,1974,,,FALSE
en-US,Geopolitcal - Acts,Communications,1934,,,FALSE
en-US,Geopolitcal - Acts,Communications Assistance for Law Enforcement,1994,,,FALSE
en-US,Geopolitcal - Acts,Communications Decency,1996,,,FALSE
en-US,Geopolitcal - Acts,Communications Satellite,1962,,,FALSE
en-US,Geopolitcal - Acts,Community Development Banking And Financial Institutions,1994,,,FALSE
en-US,Geopolitcal - Acts,Community Reinvestment,1977,,,FALSE
en-US,Geopolitcal - Acts,Community Renewal Tax Relief,2000,,,FALSE
en-US,Geopolitcal - Acts,Community Right To Know,1986,Emergency Planning And Community Right To Know,1986,FALSE
en-US,Geopolitcal - Acts,Companies,1985,,,FALSE
en-US,Geopolitcal - Acts,Competitive Equality Banking,1987,,,FALSE
en-US,Geopolitcal - Acts,Comprehensive Energy Policy,1992,,,FALSE
en-US,Geopolitcal - Acts,Comprehensive Environmental Response Compensation And Liability,1980,"Comprehensive Environmental Response, Compensation, And Liability",1980,FALSE
en-US,Geopolitcal - Acts,"Comprehensive Environmental Response, Compensation And Liability",1980,"Comprehensive Environmental Response, Compensation, And Liability",1980,FALSE
en-US,Geopolitcal - Acts,"Comprehensive Environmental Response, Compensation, And Liability",1980,,,FALSE
en-US,Geopolitcal - Acts,Comprehensive Smoking Education,1984,,,FALSE
en-US,Geopolitcal - Acts,Consolidated Appropriations,2004,,,FALSE
en-US,Geopolitcal - Acts,Consolidated Budget Reconciliation,1985,,,FALSE
en-US,Geopolitcal - Acts,Consolidated Omnibus Budget Reconciliation,1985,,,FALSE
en-US,Geopolitcal - Acts,Consolidated Omnibus Budget Reconciliation,1986,,,FALSE
en-US,Geopolitcal - Acts,Consolidated Omnibus Reconciliation,1985,,,FALSE
en-US,Geopolitcal - Acts,Consumer Credit Protection,1968,,,FALSE
en-US,Geopolitcal - Acts,Consumer Product Safety Improvement,2008,,,FALSE
en-US,Geopolitcal - Acts,Continued Dumping And Subsidy Offset,2000,,,FALSE
en-US,Geopolitcal - Acts,Controlled Substances,1970,,,FALSE
en-US,Geopolitcal - Acts,Controlling the Assault of Non-Solicited Pornography And Marketing Act,2003,,,FALSE
en-US,Geopolitcal - Acts,Copyright,1976,,,FALSE
en-US,Geopolitcal - Acts,Cost Savings,1972,Motor Vehicle Information and Cost Savings,1972,FALSE
en-US,Geopolitcal - Acts,Credit Card Accountability Responsibility and Disclosure,2009,,,FALSE
en-US,Geopolitcal - Acts,Crime Control,1990,,,FALSE
en-US,Geopolitcal - Acts,Currency and Foreign Transactions Reporting,1970,Bank Secrecy,1970,FALSE
en-US,Geopolitcal - Acts,Cvaa,2011,21St Century Communications And Video Accessibility,2011,FALSE
en-US,Geopolitcal - Acts,Defense Appropriations,1991,Department of Defense Appropriations,1991,FALSE
en-US,Geopolitcal - Acts,Defense Production,1950,,,FALSE
en-US,Geopolitcal - Acts,Deficit Reduction,1984,,,FALSE
en-US,Geopolitcal - Acts,Deficit Reduction,2005,,,FALSE
en-US,Geopolitcal - Acts,Department of Defense Appropriations,1991,,,FALSE
en-US,Geopolitcal - Acts,Department Of Energy Organization,1977,,,FALSE
en-US,Geopolitcal - Acts,Deposit Insurance,1996,Deposit Insurance Funds,1996,FALSE
en-US,Geopolitcal - Acts,Deposit Insurance Fund,1996,Deposit Insurance Funds,1996,FALSE
en-US,Geopolitcal - Acts,Deposit Insurance Funds,1996,,,FALSE
en-US,Geopolitcal - Acts,Depository Institution Management Interlocks,1977,,,FALSE
en-US,Geopolitcal - Acts,Depository Institutions Deregulation And Monetary Control,1980,,,FALSE
en-US,Geopolitcal - Acts,Dietary Supplement Health And Education,1994,,,FALSE
en-US,Geopolitcal - Acts,Digital Millennium Copyright,1998,,,FALSE
en-US,Geopolitcal - Acts,Disaster Mitigation,2000,,,FALSE
en-US,Geopolitcal - Acts,Disaster Relief,1974,,,FALSE
en-US,Geopolitcal - Acts,Dmca,1998,Digital Millennium Copyright,1998,FALSE
en-US,Geopolitcal - Acts,Dodd Frank Financial Reform,2010,Dodd Frank Wall Street Reform And Consumer Protection,2010,FALSE
en-US,Geopolitcal - Acts,Dodd Frank Reform,2010,Dodd Frank Wall Street Reform And Consumer Protection,2010,FALSE
en-US,Geopolitcal - Acts,Dodd Frank Wall Street Reform And Consumer Protection,2010,,,FALSE
en-US,Geopolitcal - Acts,Doe,1977,Department Of Energy Organization,1977,FALSE
en-US,Geopolitcal - Acts,Drug Price Competition And Patent Term Restoration,1984,,,FALSE
en-US,Geopolitcal - Acts,Economic Growth And Paperwork Reduction,1996,Economic Growth And Regulatory Paperwork Reduction,1996,FALSE
en-US,Geopolitcal - Acts,Economic Growth And Regulatory Paperwork Reduction,1996,,,FALSE
en-US,Geopolitcal - Acts,Economic Growth And Tax Relief Reconciliation,2001,,,FALSE
en-US,Geopolitcal - Acts,Economic Recovery Tax,1981,,,FALSE
en-US,Geopolitcal - Acts,Economic Stimulus,2008,,,FALSE
en-US,Geopolitcal - Acts,Eft,1978,Electronic Fund Transfer,1978,FALSE
en-US,Geopolitcal - Acts,Electric Customer Choice And Competition,1999,,,FALSE
en-US,Geopolitcal - Acts,Electric Power Competition,1996,,,FALSE
en-US,Geopolitcal - Acts,Electric Restructuring,1997,,,FALSE
en-US,Geopolitcal - Acts,Electric Utility Industry Restructuring,1999,,,FALSE
en-US,Geopolitcal - Acts,Electric Utility Restructuring,1999,Electric Utility Industry Restructuring,1999,FALSE
en-US,Geopolitcal - Acts,Electronic Communications Privacy,2001,,,FALSE
en-US,Geopolitcal - Acts,Electronic Fund Transfer,1978,,,FALSE
