Term Locale,Term Category,Term,Alias,Case Sensitive
en-US,Financial,odd lot,,False
en-US,Financial,offering price,,False
en-US,Financial,open lot,,False
en-US,Financial,open order,,False
en-US,Financial,open price,,False
en-US,Financial,opening commission,,False
en-US,Financial,opportunity cost,,False
en-US,Financial,option,,False
en-US,Financial,option premium,,False
en-US,Financial,option schedule,,False
en-US,Financial,options,,False
en-US,Financial,over-the-counter,OTC,True
en-US,Financial,otc stock,,False
en-US,Financial,out-of-state deposit,out of state deposit,False
en-US,Financial,out-of-the-money option,out of the money option,False
en-US,Financial,outstanding bond amount,,False
en-US,Financial,price/earnings to growth,PEG,True
en-US,Financial,peg ratio,,False
en-US,Financial,phone switch,,False
en-US,Financial,pink sheets,,False
en-US,Financial,portfolio,,False
en-US,Financial,portfolio %,portfolio percent,False
en-US,Financial,precious metals equities,,False
en-US,Financial,preferred stock,,False
en-US,Financial,price,,False
en-US,Financial,price/book ratio,,False
en-US,Financial,principal,,False
en-US,Financial,proceeds,,False
en-US,Financial,projected 5-year eps growth rate,projected 5 year eps growth rate; projected five-year eps growth rate; projected five year eps growth rate,False
en-US,Financial,projected yield,,False
en-US,Financial,prospectus,,False
en-US,Financial,purchase price,,False
en-US,Financial,put option,,False
en-US,Financial,quantity,,False
en-US,Financial,quick ratio,,False
en-US,Financial,regular initial minimum,,False
en-US,Financial,regular subsequent minimum,,False
en-US,Financial,regulation t,,False
en-US,Financial,regulation u,,False
en-US,Financial,reinvest distributions,,False
en-US,Financial,rejected order,,False
en-US,Financial,reporting dat,,False
en-US,Financial,return of capital,,False
en-US,Financial,return on equity %,return on equity percent,False
en-US,Financial,return on investment,,False
en-US,Financial,right,,False
en-US,Financial,Standard & Poor's,S&P; Standard and Poor's,True
en-US,Financial,sales,,False
en-US,Financial,sales change,,False
en-US,Financial,sector equities,,False
en-US,Financial,secuirty,,False
en-US,Financial,sell,,False
en-US,Financial,sells,,False
en-US,Financial,send trade,,False
en-US,Financial,series e bond,,False
en-US,Financial,series ee bond,,False
en-US,Financial,series hh bond,,False
en-US,Financial,settlement date,,False
en-US,Financial,short balance,,False
en-US,Financial,short value,,False
en-US,Financial,simplified employee pension plan,SEP,False
en-US,Financial,small stock index,,False
en-US,Financial,special subscription,,False
en-US,Financial,start year,,False
en-US,Financial,stock power,,False
en-US,Financial,stock split,,False
en-US,Financial,stop order,,False
en-US,Financial,strike price,,False
en-US,Financial,symbol,,False
en-US,Financial,cumulative return,,False
en-US,Financial,t-bills,t bills; treasury bills,False
en-US,Financial,treasury bill,,False
en-US,Financial,tax method,,False
en-US,Financial,tax-deferred,tax deferred,False
en-US,Financial,tax-exempt,tax exempt,False
en-US,Financial,technical short value,,False
en-US,Financial,to/from date,,False
en-US,Financial,total assets,,False
en-US,Financial,total cost,,False
en-US,Financial,total liabilities,,False
en-US,Financial,total return,,False
en-US,Financial,trade,,False
en-US,Financial,treasuries,,False
en-US,Financial,turnover,,False
en-US,Financial,uncovered options,,False
en-US,Financial,savings bond,,False
en-US,Financial,underlying security,,False
en-US,Financial,undistributed earnings,,False
en-US,Financial,unit,,False
en-US,Financial,unit investment trust,,False
en-US,Financial,unlisted security,,False
en-US,Financial,unpaid dividend,,False
en-US,Financial,unsecured debt,,False
en-US,Financial,valueline composite index,,False
en-US,Financial,variable annuity,,False
en-US,Financial,variable interest rate,,False
en-US,Financial,veribanc rating,,False
en-US,Financial,vesting,,False
en-US,Financial,volatility,,False
en-US,Financial,volume,,False
en-US,Financial,voting right,,False
en-US,Financial,warrants,,False
en-US,Financial,wash sale,,False
en-US,Financial,when issued,,False
en-US,Financial,whipsaw,,False
en-US,Financial,writer,,False
en-US,Financial,year issued,,False
en-US,Financial,year to date,ytd,False
en-US,Financial,year-end values,year end values,False
en-US,Financial,yellow sheets,,False
en-US,Financial,yield,,False
en-US,Financial,yield spread,,False
en-US,Financial,yield to call,,False
en-US,Financial,yield to maturity,,False
en-US,Financial,zero coupon bonds,,False
