Term Locale,Term Category,Term,CaseSensitive
en-US,Financial,long-term growth,FALSE
en-US,Financial,long term growth,FALSE
en-US,Financial,lot,FALSE
en-US,Financial,margin account,FALSE
en-US,Financial,margin balance,FALSE
en-US,Financial,margin debt,FALSE
en-US,Financial,margin loan availability,FALSE
en-US,Financial,marginal tax rate,FALSE
en-US,Financial,market order,FALSE
en-US,Financial,market timing,FALSE
en-US,Financial,market value,FALSE
en-US,Financial,maturity,FALSE
en-US,Financial,maximum capital gains,FALSE
en-US,Financial,minimum investment,FALSE
en-US,Financial,mixed lot,FALSE
en-US,Financial,money market fund,FALSE
en-US,Financial,municipal bond,FALSE
en-US,Financial,mutual fund cash level,FALSE
en-US,Financial,nasdag composite index,FALSE
en-US,Financial,net amount,FALSE
en-US,Financial,net asset value,FALSE
en-US,Financial,NAV,TRUE
en-US,Financial,net income,FALSE
en-US,Financial,no-load funds,FALSE
en-US,Financial,no load funds,FALSE
en-US,Financial,non-callable bonds,FALSE
en-US,Financial,non callable bonds,FALSE
en-US,Financial,non-marginable securities,FALSE
en-US,Financial,odd lot,FALSE
en-US,Financial,offering price,FALSE
en-US,Financial,open lot,FALSE
en-US,Financial,open order,FALSE
en-US,Financial,open price,FALSE
en-US,Financial,opening commission,FALSE
en-US,Financial,opportunity cost,FALSE
en-US,Financial,option,FALSE
en-US,Financial,option premium,FALSE
en-US,Financial,option schedule,FALSE
en-US,Financial,options,FALSE
en-US,Financial,OTC,TRUE
en-US,Financial,otc stock,FALSE
en-US,Financial,out-of-state deposit,FALSE
en-US,Financial,out of state deposit,FALSE
en-US,Financial,out-of-the-money option,FALSE
en-US,Financial,out of the money option,FALSE
en-US,Financial,outstanding bond amount,FALSE
en-US,Financial,PEG,TRUE
en-US,Financial,peg ratio,FALSE
en-US,Financial,phone switch,FALSE
en-US,Financial,pink sheets,FALSE
en-US,Financial,portfolio,FALSE
en-US,Financial,portfolio %,FALSE
en-US,Financial,portfolio percent,FALSE
en-US,Financial,precious metals equities,FALSE
en-US,Financial,preferred stock,FALSE
en-US,Financial,price,FALSE
en-US,Financial,price/book ratio,FALSE
en-US,Financial,principal,FALSE
en-US,Financial,proceeds,FALSE
en-US,Financial,projected 5-year eps growth rate,FALSE
en-US,Financial,projected 5 year eps growth rate,FALSE
en-US,Financial,projected five-year eps growth rate,FALSE
en-US,Financial,projected five year eps growth rate,FALSE
en-US,Financial,EPS,TRUE
en-US,Financial,projected yield,FALSE
en-US,Financial,prospectus,FALSE
en-US,Financial,purchase price,FALSE
en-US,Financial,put option,FALSE
en-US,Financial,quantity,FALSE
en-US,Financial,quick ratio,FALSE
en-US,Financial,regular initial minimum,FALSE
en-US,Financial,regular subsequent minimum,FALSE
en-US,Financial,regulation t,FALSE
en-US,Financial,regulation u,FALSE
en-US,Financial,reinvest distributions,FALSE
en-US,Financial,rejected order,FALSE
en-US,Financial,reporting dat,FALSE
en-US,Financial,return of capital,FALSE
en-US,Financial,return on equity %,FALSE
en-US,Financial,return on equity percent,FALSE
en-US,Financial,return on investment,FALSE
en-US,Financial,right,FALSE
en-US,Financial,S&P,TRUE
en-US,Financial,sales,FALSE
en-US,Financial,sales change,FALSE
en-US,Financial,sector equities,FALSE
en-US,Financial,secuirty,FALSE
en-US,Financial,sell,FALSE
en-US,Financial,sells,FALSE
en-US,Financial,send trade,FALSE
en-US,Financial,series e bond,FALSE
en-US,Financial,series ee bond,FALSE
en-US,Financial,series hh bond,FALSE
en-US,Financial,settlement date,FALSE
en-US,Financial,short balance,FALSE
en-US,Financial,short value,FALSE
en-US,Financial,simplified employee pension plan,FALSE
en-US,Financial,SEP,TRUE
en-US,Financial,small stock index,FALSE
en-US,Financial,special subscription,FALSE
en-US,Financial,start year,FALSE
en-US,Financial,stock power,FALSE
en-US,Financial,stock split,FALSE
en-US,Financial,stop order,FALSE
en-US,Financial,strike price,FALSE
en-US,Financial,symbol,FALSE
en-US,Financial,cumulative return,FALSE
en-US,Financial,t-bills,FALSE
en-US,Financial,t bills,FALSE
en-US,Financial,treasury bill,FALSE
en-US,Financial,treasury bills,FALSE
en-US,Financial,tax method,FALSE
en-US,Financial,tax-deferred,FALSE
en-US,Financial,tax deferred,FALSE
en-US,Financial,tax-exempt,FALSE
en-US,Financial,tax exempt,FALSE
en-US,Financial,technical short value,FALSE
en-US,Financial,to/from date,FALSE
en-US,Financial,total assets,FALSE
en-US,Financial,total cost,FALSE
en-US,Financial,total liabilities,FALSE
en-US,Financial,total return,FALSE
en-US,Financial,trade,FALSE
en-US,Financial,treasuries,FALSE
en-US,Financial,turnover,FALSE
en-US,Financial,uncovered options,FALSE
en-US,Financial,savings bond,FALSE
en-US,Financial,underlying security,FALSE
en-US,Financial,undistributed earnings,FALSE
en-US,Financial,unit,FALSE
en-US,Financial,unit investment trust,FALSE
en-US,Financial,unlisted security,FALSE
en-US,Financial,unpaid dividend,FALSE
en-US,Financial,unsecured debt,FALSE
en-US,Financial,valueline composite index,FALSE
en-US,Financial,variable annuity,FALSE
en-US,Financial,variable interest rate,FALSE
en-US,Financial,veribanc rating,FALSE
en-US,Financial,vesting,FALSE
en-US,Financial,volatility,FALSE
en-US,Financial,volume,FALSE
en-US,Financial,voting right,FALSE
en-US,Financial,warrants,FALSE
en-US,Financial,wash sale,FALSE
en-US,Financial,when issued,FALSE
en-US,Financial,whipsaw,FALSE
en-US,Financial,writer,FALSE
en-US,Financial,year issued,FALSE
en-US,Financial,year to date,FALSE
en-US,Financial,ytd,FALSE
en-US,Financial,year-end values,FALSE
en-US,Financial,year end values,FALSE
en-US,Financial,yellow sheets,FALSE
en-US,Financial,yield,FALSE
en-US,Financial,yield spread,FALSE
en-US,Financial,yield to call,FALSE
en-US,Financial,yield to maturity,FALSE
en-US,Financial,zero coupon bonds,FALSE
