Term Locale,Term Category,Term,CaseSensitive
en-us,Chemical,lithopone,FALSE
en-us,Chemical,benzoyl peroxide,FALSE
en-us,Chemical,benzoic acid peroxide,FALSE
en-us,Chemical,bismuth,FALSE
en-us,Chemical,lead-free shot,FALSE
en-us,Chemical,lead-free sinkers,FALSE
en-us,Chemical,lead free shot,FALSE
en-us,Chemical,lead free sinkers,FALSE
en-us,Chemical,bismuth subsalicylate,FALSE
en-us,Chemical,pepto-bismal,FALSE
en-us,Chemical,boric acid,FALSE
en-us,Chemical,boracic acid,FALSE
en-us,Chemical,bromthymol blue,FALSE
en-us,Chemical,butane,FALSE
en-us,Chemical,caffeine,FALSE
en-us,Chemical,cadmium sulfide,FALSE
en-us,Chemical,cadmium yellow,FALSE
en-us,Chemical,calcium barbide,FALSE
en-us,Chemical,calcium carbonate,FALSE
en-us,Chemical,limestone,FALSE
en-us,Chemical,calcium chloride,FALSE
en-us,Chemical,road salt,FALSE
en-us,Chemical,calcium hydroxide,FALSE
en-us,Chemical,slaked lime,FALSE
en-us,Chemical,calcium hypochlorite,FALSE
en-us,Chemical,calcium nitrate,FALSE
en-us,Chemical,norwegian saltpeter,FALSE
en-us,Chemical,Norgessalpeter,FALSE
en-us,Chemical,calcium oxide,FALSE
en-us,Chemical,lime,FALSE
en-us,Chemical,quicklime,FALSE
en-us,Chemical,calcium phosphate monobasic,FALSE
en-us,Chemical,superphosphate,FALSE
en-us,Chemical,calcium sulfate anhydrous,FALSE
en-us,Chemical,calcium sulfate hemihydrate,FALSE
en-us,Chemical,plaster of paris,FALSE
en-us,Chemical,calcium,FALSE
en-us,Chemical,gypsum,FALSE
en-us,Chemical,camphor,FALSE
en-us,Chemical,graphite,FALSE
en-us,Chemical,graphene,FALSE
en-us,Chemical,diamond,FALSE
en-us,Chemical,charcoal,FALSE
en-us,Chemical,carbon dioxide,FALSE
en-us,Chemical,carbonic acid,FALSE
en-us,Chemical,carrageenan,FALSE
en-us,Chemical,cellulose,FALSE
en-us,Chemical,chromium oxide,FALSE
en-us,Chemical,citric acid,FALSE
en-us,Chemical,sour salt,FALSE
en-us,Chemical,copper,FALSE
en-us,Chemical,copper naphthenate,FALSE
en-us,Chemical,copper sulfate,FALSE
en-us,Chemical,cupric sulfate,FALSE
en-us,Chemical,copper sulfate pnetahydrate,FALSE
en-us,Chemical,bluestone,FALSE
en-us,Chemical,cyanuric acid,FALSE
en-us,Chemical,isocyanuric acid,FALSE
en-us,Chemical,dextrose,FALSE
en-us,Chemical,dichloromethane,FALSE
en-us,Chemical,glucose,FALSE
en-us,Chemical,corn syrup,FALSE
en-us,Chemical,methylene chlordie,FALSE
en-us,Chemical,dimethyl sulfoxide,FALSE
en-us,Chemical,dmso,FALSE
en-us,Chemical,ethanol,FALSE
en-us,Chemical,ethyl alcohol,FALSE
en-us,Chemical,everclear,FALSE
en-us,Chemical,ether,FALSE
en-us,Chemical,diethyl ether,FALSE
en-us,Chemical,ethoxyethane,FALSE
en-us,Chemical,ethylene glycol,FALSE
en-us,Chemical,eugenol,FALSE
en-us,Chemical,oil of clove,FALSE
en-us,Chemical,formic acid,FALSE
en-us,Chemical,methanoic acid,FALSE
en-us,Chemical,fructose,FALSE
en-us,Chemical,fruit sugar,FALSE
en-us,Chemical,glycerin,FALSE
en-us,Chemical,gllycerol,FALSE
en-us,Chemical,gum arabic,FALSE
en-us,Chemical,gum acacia,FALSE
en-us,Chemical,helium,FALSE
en-us,Chemical,hexamine,FALSE
en-us,Chemical,hexamethylenetetramine,FALSE
en-us,Chemical,hydrogen gas,FALSE
en-us,Chemical,hydrochloric acid,FALSE
en-us,Chemical,masonry cleaner,FALSE
en-us,Chemical,muriatic acid,FALSE
en-us,Chemical,hydrofluoric acid,FALSE
en-us,Chemical,hypochlorous acid,FALSE
en-us,Chemical,hydroquinone,FALSE
en-us,Chemical,hydrogen peroxide,FALSE
en-us,Chemical,peroxide,FALSE
en-us,Chemical,iodine,FALSE
en-us,Chemical,iodide,FALSE
en-us,Element,iron,FALSE
en-us,Chemical,ferric chloride,FALSE
en-us,Chemical,ferric oxide,FALSE
en-us,Chemical,rust,FALSE
en-us,Chemical,ferrous ferric oxide,FALSE
en-us,Chemical,magnetite,FALSE
en-us,Chemical,iron sulfate,FALSE
en-us,Chemical,ferrous sulfate,FALSE
