Term Locale,Term Category,Term,CaseSensitive
de-de,Element,Uran,FALSE
de-de,Element,Vanadium,FALSE
de-de,Element,Wasserstoff,FALSE
de-de,Element,Wolfram,FALSE
de-de,Element,Xenon,FALSE
de-de,Element,Ytterbium,FALSE
de-de,Element,Yttrium,FALSE
de-de,Element,Zink,FALSE
de-de,Element,Zinn,FALSE
de-de,Element,Zirkonium,FALSE
de-de,Element,Eka-Quecksilber,FALSE
de-de,Element,Silizium,FALSE
de-de,Element,Wismut,FALSE
de-de,Element,Niob,FALSE
de-de,Element,Kalzium,FALSE
de-de,Element,Kobalt,FALSE
de-de,Element,Jod,FALSE
univ,Element,H,TRUE
univ,Element,He,TRUE
univ,Element,Li,TRUE
univ,Element,Be,TRUE
univ,Element,B,TRUE
univ,Element,C,TRUE
univ,Element,N,TRUE
univ,Element,O,TRUE
univ,Element,F,TRUE
univ,Element,Ne,TRUE
univ,Element,Na,TRUE
univ,Element,Mg,TRUE
univ,Element,Al,TRUE
univ,Element,Si,TRUE
univ,Element,P,TRUE
univ,Element,S,TRUE
univ,Element,Cl,TRUE
univ,Element,Ar,TRUE
univ,Element,K,TRUE
univ,Element,Ca,TRUE
univ,Element,Sc,TRUE
univ,Element,Ti,TRUE
univ,Element,V,TRUE
univ,Element,Cr,TRUE
univ,Element,Mn,TRUE
univ,Element,Fe,TRUE
univ,Element,Co,TRUE
univ,Element,Ni,TRUE
univ,Element,Cu,TRUE
univ,Element,Zn,TRUE
univ,Element,Ga,TRUE
univ,Element,Ge,TRUE
univ,Element,As,TRUE
univ,Element,Se,TRUE
univ,Element,Br,TRUE
univ,Element,Kr,TRUE
univ,Element,Rb,TRUE
univ,Element,Sr,TRUE
univ,Element,Y,TRUE
univ,Element,Zr,TRUE
univ,Element,Nb,TRUE
univ,Element,Mo,TRUE
univ,Element,Tc,TRUE
univ,Element,Ru,TRUE
univ,Element,Rh,TRUE
univ,Element,Pd,TRUE
univ,Element,Ag,TRUE
univ,Element,Cd,TRUE
univ,Element,In,TRUE
univ,Element,Sn,TRUE
univ,Element,Sb,TRUE
univ,Element,Te,TRUE
univ,Element,I,TRUE
univ,Element,Xe,TRUE
univ,Element,Cs,TRUE
univ,Element,Ba,TRUE
univ,Element,La,TRUE
univ,Element,Ce,TRUE
univ,Element,Pr,TRUE
univ,Element,Nd,TRUE
univ,Element,Pm,TRUE
univ,Element,Sm,TRUE
univ,Element,Eu,TRUE
univ,Element,Gd,TRUE
univ,Element,Tb,TRUE
univ,Element,Dy,TRUE
univ,Element,Ho,TRUE
univ,Element,Er,TRUE
univ,Element,Tm,TRUE
univ,Element,Yb,TRUE
univ,Element,Lu,TRUE
univ,Element,Hf,TRUE
univ,Element,Ta,TRUE
univ,Element,W,TRUE
univ,Element,Re,TRUE
univ,Element,Os,TRUE
univ,Element,Ir,TRUE
univ,Element,Pt,TRUE
univ,Element,Au,TRUE
univ,Element,Hg,TRUE
univ,Element,Tl,TRUE
univ,Element,Pb,TRUE
univ,Element,Bi,TRUE
univ,Element,Po,TRUE
univ,Element,At,TRUE
univ,Element,Rn,TRUE
univ,Element,Fr,TRUE
univ,Element,Ra,TRUE
univ,Element,Ac,TRUE
univ,Element,Th,TRUE
univ,Element,Pa,TRUE
univ,Element,U,TRUE
univ,Element,Np,TRUE
univ,Element,Pu,TRUE
univ,Element,Am,TRUE
univ,Element,Cm,TRUE
univ,Element,Bk,TRUE
univ,Element,Cf,TRUE
univ,Element,Es,TRUE
univ,Element,Fm,TRUE
univ,Element,Md,TRUE
univ,Element,No,TRUE
univ,Element,Lr,TRUE
univ,Element,Rf,TRUE
univ,Element,Db,TRUE
univ,Element,Sg,TRUE
univ,Element,Bh,TRUE
univ,Element,Hs,TRUE
univ,Element,Mt,TRUE
univ,Element,Ds,TRUE
univ,Element,Rg,TRUE
univ,Element,Cn,TRUE
univ,Element,Nh,TRUE
univ,Element,Fl,TRUE
univ,Element,Mc,TRUE
univ,Element,Lv,TRUE
univ,Element,Ts,TRUE
univ,Element,Og,TRUE
