Term Locale,Term Category,Term,CaseSensitive,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,HM Revenue & Customs,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Police Complaints Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Reconfiguration Panel,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Reviewer of Terrorism Legislation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Industrial Development Advisory Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Industrial Injuries Advisory Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Information Commissioner's Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Innovate UK,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Insolvency Practitioners Tribunal,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Insolvency Rules Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Insolvency Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Institute for Apprenticeships,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Intellectual Property Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Intelligence Services Commissioner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Interception of Communications Commissioner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Investigatory Powers Tribunal,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Iraq Inquiry,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Joint Nature Conservation Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Judicial Appointments Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Judicial Appointments and Conduct Ombudsman,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Judicial Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Lake District National Park Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Lammy Review,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Land Registration Rule Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Law Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Leasehold Advisory Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Legal Aid Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Legal Ombudsman,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Legal Services Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Local Government Ombudsman,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Low Pay Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Macur Review,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Marine Accident Investigation Branch,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Marine Management Organisation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Maritime and Coastguard Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Marshall Aid Commemoration Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Medical Research Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Medicines and Healthcare products Regulatory Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Met Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Migration Advisory Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Morecambe Bay Investigation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NHS Blood and Transplant,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NHS Business Services Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NHS Digital,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NHS England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NHS Improvement,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NHS Litigation Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NHS Pay Review Body,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NHS Wales Informatics Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Army Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National College for Teaching and Leadership,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Counter Terrorism Security Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Crime Agency Remuneration Review Body,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National DNA Database Ethics Group,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Data Guardian,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Employer Advisory Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Employment Savings Trust,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Forest Company,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Gallery,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Heritage Memorial Fund,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Information Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Infrastructure Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Institute for Health and Care Excellence,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Museum of the Royal Navy,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Museums Liverpool,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Portrait Gallery,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Probation Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Natural England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Natural Environment Research Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Natural History Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Natural Resources Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,New Forest National Park Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,North York Moors National Park Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Northern Ireland Housing Executive,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Northern Ireland Human Rights Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Northern Ireland Policing Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Northern Ireland Statistics and Research Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Northern Lighthouse Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Northumberland National Park Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Nuclear Decommissioning Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Nuclear Liabilities Financing Assurance Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Nuclear Research Advisory Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Ofcom,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NEST,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office for Budget Responsibility,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office for Fair Access,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office for National Statistics,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of Manpower Economics,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of Surveillance Commissioners,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of Tax Simplification,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Children's Commissioner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Immigration Services Commissioner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Public Guardian,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Registrar of Consultant Lobbyists,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Regulator of Community Interest Companies,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Schools Adjudicator,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Official Solicitor and Public Trustee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Oil and Gas Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Parades Commission for Northern Ireland,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Parliamentary and Health Service Ombudsman,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Parole Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Payment Systems Regulator,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Peak District National Park Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Pension Protection Fund Ombudsman,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Pensions Advisory Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Pensions Ombudsman,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Pensions Regulator,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Planning Inspectorate,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Plant Varieties and Seeds Tribunal,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Police Advisory Board for England and Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Police Discipline Appeals Tribunal,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Police Remuneration Review Body,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Porton Biopharma Limited,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Porton Biopharma Limited,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Prison Service Pay Review Body,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Prisons and Probation Ombudsman,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Privy Council Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Probation Board for Northern Ireland,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Professional Standards Authority for Health and Social Care,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NS&I,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Public Health England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Public Health Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Public Prosecution Service for Northern Ireland,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Pubs Code Adjudicator,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Queen Elizabeth II Conference Centre,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Radioactive Waste Management,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Rail Accident Investigation Branch,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Rail Safety and Standards Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Regulator of Social Housing,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Regulatory Policy Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Reserve Forces' and Cadets' Associations,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Review Body on Doctors' and Dentists' Remuneration,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Royal Air Force Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Royal Armouries Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Royal Marines Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Royal Mint,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Royal Mint Advisory Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Royal Museums Greenwich,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Royal Navy Submarine Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Royal Parks,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Rural Payments Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,S4C,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,School Teachers' Review Body,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Science Advisory Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Science Museum Group,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Science and Technology Facilities Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Scientific Advisory Committee on the Medical Implications of Less-Lethal Weapons,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Sea Fish Industry Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Secret Intelligence Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Security Industry Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Security Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Security Vetting Appeals Panel,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Sellafield Ltd,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Sellafield Limited,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Senior Salaries Review Body,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Sentencing Council for England and Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Service Complaints Ombudsman,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Service Prosecuting Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Single Source Regulations Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Sir John Soane's Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Social Mobility Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Social Science Research Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Social Security Advisory Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,South Downs National Park Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Sport England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Sports Council for Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Sports Grounds Safety Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Stabilisation Unit,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Standards and Testing Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Student Loans Company,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Surveillance Camera Commissioner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Tate,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Technical Advisory Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Theatres Trust,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Traffic Commissioners for Great Britain,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Transport Focus,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Treasure Valuation Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Tribunal Procedure Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Trinity House,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Anti-Doping,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Atomic Energy Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Co-ordinating Body,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Debt Management Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Financial Investments Limited,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Financial Investments Ltd,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Government Investments,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Green Investment Bank,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Holocaust Memorial Foundation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Hydrographic Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Space Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Sport,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,United Kingdom Reserve Forces Association,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Valuation Office Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Valuation Tribunal Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Valuation Tribunal for England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Vehicle Certification Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Veterans Advisory and Pensions Committees,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Veterinary Medicines Directorate,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Veterinary Products Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Victims' Commissioner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Victoria and Albert Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,VisitBritain,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,VisitEngland,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Wales Audit Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Wallace Collection,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Welsh Language Commissioner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Westminster Foundation for Democracy,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Wilton Park,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Yorkshire Dales National Park Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Youth Justice Board for England and Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Bona Vacantia,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Border Force,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,British Cattle Movement Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Cabinet Office Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Chief Fire and Rescue Adviser,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Nuclear Constabulary,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Service Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Service Fast Stream,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Service Fast Track Apprenticeship,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Service Reform,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Service Resourcing,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Counter Fraud and Security Management Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence Equipment and Support,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence Infrastructure Organisation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence Safety Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence and Security Accelerator,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for International Trade Defence & Security Organisation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Digital, data and technology professions",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,District Valuer Services,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Export Control Organisation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Financial Services Organisation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Financial Services Trade and Investment Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Chemist,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Commercial Function,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Communication Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Corporate Finance Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Digital Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Economic Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Finance Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government IT Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Knowledge & Information Management Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Legal Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Occupational Psychology Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Operational Research Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Planning Inspectors,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Planning Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Property Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Science and Engineering Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Security Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Social Research Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Statistical Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Tax Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Veterinary Services,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,HM Nautical Almanac Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,HM Passport Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Healthcare UK,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Human Resources Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Immigration Enforcement,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Infrastructure and Projects Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Intelligence Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Internal Audit Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Joint Forces Command,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Medical Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Coordinating Body,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Military Aviation Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
