Term Locale,Term Category,Term,CaseSensitive
en-CA,Geopolitical,Governor General of Canada,FALSE
en-CA,Geopolitical,Great Lakes Pilotage Authority Canada,FALSE
en-CA,Geopolitical,Health Canada,FALSE
en-CA,Geopolitical,Historic Sites and Monuments Board of Canada,FALSE
en-CA,Geopolitical,Human Rights Tribunal of Canada,FALSE
en-CA,Geopolitical,Immigration and Refugee Board of Canada,FALSE
en-CA,Geopolitical,"Immigration, Refugees and Citizenship Canada",FALSE
en-CA,Geopolitical,Independent Review Panel for Defence Acquisition,FALSE
en-CA,Geopolitical,Indian Oil and Gas Canada,FALSE
en-CA,Geopolitical,Indigenous and Northern Affairs Canada,FALSE
en-CA,Geopolitical,Industrial Technologies Office,FALSE
en-CA,Geopolitical,Information Commissioner,FALSE
en-CA,Geopolitical,Infrastructure Canada,FALSE
en-CA,Geopolitical,"Innovation, Science and Economic Development Canada",FALSE
en-CA,Geopolitical,"Innovation, Science, and Economic Development Canada",FALSE
en-CA,Geopolitical,Intergovernmental Affairs,FALSE
en-CA,Geopolitical,International Development Research Centre,FALSE
en-CA,Geopolitical,Jacques Cartier and Champlain Bridges,FALSE
en-CA,Geopolitical,Justice Canada],FALSE
en-CA,Geopolitical,Labour Program,FALSE
en-CA,Geopolitical,Laurentian Pilotage Authority Canada,FALSE
en-CA,Geopolitical,Leader of the Government in the House of Commons,FALSE
en-CA,Geopolitical,Library and Archives Canada,FALSE
en-CA,Geopolitical,Marine Atlantic,FALSE
en-CA,Geopolitical,Measurement Canada,FALSE
en-CA,Geopolitical,Military Grievances External Review Committee,FALSE
en-CA,Geopolitical,Military Police Complaints Commission of Canada,FALSE
en-CA,Geopolitical,National Arts Centre,FALSE
en-CA,Geopolitical,National Battlefields Commission,FALSE
en-CA,Geopolitical,National Capital Commission,FALSE
en-CA,Geopolitical,National Defence,FALSE
en-CA,Geopolitical,Ombudsman for the Department of National Defence and the Canadian Forces,FALSE
en-CA,Geopolitical,National Energy Board,FALSE
en-CA,Geopolitical,National Film Board,FALSE
en-CA,Geopolitical,National Gallery of Canada,FALSE
en-CA,Geopolitical,Canada Science and Technology Museums Corporation,FALSE
en-CA,Geopolitical,Canada Science and Technology Museum,FALSE
en-CA,Geopolitical,National Research Council Canada,FALSE
en-CA,Geopolitical,Natural Resources Canada,FALSE
en-CA,Geopolitical,National Seniors Council,FALSE
en-CA,Geopolitical,Natural Sciences and Engineering Research Canada,FALSE
en-CA,Geopolitical,Northern Pipeline Agency Canada,FALSE
en-CA,Geopolitical,Occupational Health and Safety Tribunal Canada,FALSE
en-CA,Geopolitical,Office of the Chief Military Judge,FALSE
en-CA,Geopolitical,Pacific Pilotage Authority Canada,FALSE
en-CA,Geopolitical,Parks Canada,FALSE
en-CA,Geopolitical,Parole Board of Canada,FALSE
en-CA,Geopolitical,Parliament of Canada,FALSE
en-CA,Geopolitical,Patented Medicine Prices Review Board Canada,FALSE
en-CA,Geopolitical,Polar Knowledge Canada,FALSE
en-CA,Geopolitical,PPP Canada,FALSE
en-CA,Geopolitical,Prime Minister of Canada,FALSE
en-CA,Geopolitical,Privacy Commissioner of Canada,FALSE
en-CA,Geopolitical,Privy Council Office,FALSE
en-CA,Geopolitical,Procurement Ombudsman,FALSE
en-CA,Geopolitical,Public Health Agency of Canada,FALSE
en-CA,Geopolitical,Public Prosecution Service of Canada,FALSE
en-CA,Geopolitical,Public Safety Canada,FALSE
en-CA,Geopolitical,Public Sector Integrity Commissioner of Canada,FALSE
en-CA,Geopolitical,Public Sector Pension Investment Board,FALSE
en-CA,Geopolitical,Public Servants Disclosure Protection Tribunal Canada,FALSE
en-CA,Geopolitical,Public Service Commission of Canada,FALSE
en-CA,Geopolitical,Public Service Labour Relations and Employment Board,FALSE
en-CA,Geopolitical,Public Services and Procurement Canada,FALSE
en-CA,Geopolitical,Registry of the Specific Claims Tribunal of Canada,FALSE
en-CA,Geopolitical,Ridley Terminals Inc.,FALSE
en-CA,Geopolitical,Royal Canadian Air Force,FALSE
en-CA,Geopolitical,Royal Canadian Mint,FALSE
en-CA,Geopolitical,Royal Canadian Mounted Police,FALSE
en-CA,Geopolitical,Royal Canadian Mounted Police External Review Committee,FALSE
en-CA,Geopolitical,Royal Canadian Navy,FALSE
en-CA,Geopolitical,Royal Military College of Canada,FALSE
en-CA,Geopolitical,Security Intelligence Review Committee,FALSE
en-CA,Geopolitical,Service Canada,FALSE
en-CA,Geopolitical,Shared Services Canada,FALSE
en-CA,Geopolitical,Social Sciences and Humanities Research Council of Canada,FALSE
en-CA,Geopolitical,Social Security Tribunal of Canada,FALSE
en-CA,Geopolitical,Standards Council of Canada,FALSE
en-CA,Geopolitical,Statistics Canada,FALSE
en-CA,Geopolitical,Status of Women Canada,FALSE
en-CA,Geopolitical,Superintendent of Bankruptcy Canada,FALSE
en-CA,Geopolitical,Superintendent of Financial Institutions Canada,FALSE
en-CA,Geopolitical,Supreme Court of Canada,FALSE
en-CA,Geopolitical,Tax Court of Canada,FALSE
en-CA,Geopolitical,Taxpayers' Ombudsman,FALSE
en-CA,Geopolitical,Telefilm Canada,FALSE
en-CA,Geopolitical,Translation Bureau,FALSE
en-CA,Geopolitical,Transport Canada,FALSE
en-CA,Geopolitical,Transportation Appeal Tribunal of Canada,FALSE
en-CA,Geopolitical,Transportation Safety Board of Canada,FALSE
en-CA,Geopolitical,Treasury Board of Canada Secretariat,FALSE
en-CA,Geopolitical,Veterans Affairs Canada,FALSE
