Term Locale,Term Type,Term,CaseSensitive
en-US,Kansas Agencies,Office of the Kansas Securities Commissioner,FALSE
en-US,Kansas Agencies,Kansas Department of Transportation,FALSE
en-US,Kentucky Agencies,Kentucky Department of Education,FALSE
en-US,Kentucky Agencies,Kentucky Department of Juvenile Justice,FALSE
en-US,Kentucky Agencies,Kentucky Heritage Council,FALSE
en-US,Kentucky Agencies,Kentucky Lottery,FALSE
en-US,Kentucky Agencies,Kentucky Office of Alcoholic Beverage Control,FALSE
en-US,Kentucky Agencies,Kentucky Public Service Commission,FALSE
en-US,Kentucky Agencies,Kentucky River Authority,FALSE
en-US,Kentucky Agencies,Kentucky Space,FALSE
en-US,Kentucky Agencies,Kentucky State Nature Preserves Commission,FALSE
en-US,Kentucky Agencies,Kentucky Transportation Cabinet,FALSE
en-US,Kentucky Agencies,Legislative Research Commission,FALSE
en-US,Louisiana Agencies,Louisiana Department of Agriculture and Forestry,FALSE
en-US,Louisiana Agencies,Louisiana State Archive and Research Library,FALSE
en-US,Louisiana Agencies,Louisiana Coastal Protection and Restoration Authority,FALSE
en-US,Louisiana Agencies,Crescent City Connection Division,FALSE
en-US,Louisiana Agencies,Louisiana Department of Education,FALSE
en-US,Louisiana Agencies,Louisiana Department of Environmental Quality,FALSE
en-US,Louisiana Agencies,Louisiana Department of Health and Hospitals,FALSE
en-US,Louisiana Agencies,Joint Task Force Gator,FALSE
en-US,Louisiana Agencies,Louisiana Office of Juvenile Justice,FALSE
en-US,Louisiana Agencies,Louisiana Lottery Corporation,FALSE
en-US,Louisiana Agencies,Louisiana National Guard,FALSE
en-US,Louisiana Agencies,Louisiana Public Service Commission,FALSE
en-US,Louisiana Agencies,Louisiana Recovery Authority,FALSE
en-US,Louisiana Agencies,Southeast Louisiana Flood Protection Authority,FALSE
en-US,Louisiana Agencies,Louisiana Department of Transportation and Development,FALSE
en-US,Louisiana Agencies,Louisiana Department of Veterans Affairs,FALSE
en-US,Louisiana Agencies,Louisiana Department of Wildlife and Fisheries,FALSE
en-US,Louisiana Agencies,Dirigo Health,FALSE
en-US,Louisiana Agencies,Maine Arts Commission,FALSE
en-US,Louisiana Agencies,Maine Bureau of Motor Vehicles,FALSE
en-US,Louisiana Agencies,"Maine Department of Defense, Veterans, and Emergency Management",FALSE
en-US,Louisiana Agencies,Maine Department of Education,FALSE
en-US,Louisiana Agencies,Maine Department of Transportation,FALSE
en-US,Louisiana Agencies,Maine Liquor Licensing and Compliance Division,FALSE
en-US,Louisiana Agencies,Maine Lottery,FALSE
en-US,Louisiana Agencies,Maine Public Utilities Commission,FALSE
en-US,Louisiana Agencies,Maine Warden Service,FALSE
en-US,Maryland Agencies,Maryland State Department of Education,FALSE
en-US,Maryland Agencies,Maryland 529,FALSE
en-US,Maryland Agencies,Maryland Alcohol and Tobacco Tax Bureau,FALSE
en-US,Maryland Agencies,Maryland Automobile Insurance Fund,FALSE
en-US,Maryland Agencies,Maryland Aviation Administration,FALSE
en-US,Maryland Agencies,Maryland Coastal Bays Program,FALSE
en-US,Maryland Agencies,Maryland Department of Agriculture,FALSE
en-US,Maryland Agencies,Maryland Department of General Services,FALSE
en-US,Maryland Agencies,Maryland Department of Health and Mental Hygiene,FALSE
en-US,Maryland Agencies,Maryland Department of Juvenile Services,FALSE
en-US,Maryland Agencies,"Maryland Department of Labor, Licensing and Regulation",FALSE
en-US,Maryland Agencies,Maryland Racing Commission,FALSE
en-US,Maryland Agencies,Maryland Department of Natural Resources,FALSE
en-US,Maryland Agencies,Maryland Department of Planning,FALSE
en-US,Maryland Agencies,Maryland Department of Transportation,FALSE
en-US,Maryland Agencies,Maryland Emergency Management Agency,FALSE
en-US,Maryland Agencies,Maryland Forest Service,FALSE
en-US,Maryland Agencies,Maryland Health Benefit Exchange,FALSE
en-US,Maryland Agencies,Maryland Higher Education Commission,FALSE
en-US,Maryland Agencies,Maryland Historical Trust,FALSE
en-US,Maryland Agencies,Maryland Horse Industry Board,FALSE
en-US,Maryland Agencies,Maryland Lottery,FALSE
en-US,Maryland Agencies,Maryland Military Department,FALSE
en-US,Maryland Agencies,Maryland Office of Administrative Hearings,FALSE
en-US,Maryland Agencies,Maryland power plant research program,FALSE
en-US,Maryland Agencies,Maryland Public Service Commission,FALSE
en-US,Maryland Agencies,Maryland State Archives,FALSE
en-US,Maryland Agencies,Maryland State Board of Censors,FALSE
en-US,Maryland Agencies,Maryland State Commission on Criminal Sentencing Policy,FALSE
en-US,Maryland Agencies,Maryland State Highway Administration,FALSE
en-US,Maryland Agencies,Maryland Transit Administration,FALSE
en-US,Maryland Agencies,Maryland Transportation Authority,FALSE
en-US,Massachusetts Agencies,Massachusetts Alcoholic Beverage Control Commission,FALSE
en-US,Massachusetts Agencies,Berkshire Regional Transit Authority,FALSE
en-US,Massachusetts Agencies,Massachusetts Commission Against Discrimination,FALSE
en-US,Massachusetts Agencies,Department of Conservation and Recreation,FALSE
en-US,Massachusetts Agencies,Division of Fisheries and Wildlife,FALSE
en-US,Massachusetts Agencies,Massachusetts Department of Elementary and Secondary Education,FALSE
en-US,Massachusetts Agencies,Massachusetts Emergency Management Agency,FALSE
en-US,Massachusetts Agencies,Massachusetts Executive Office of Energy and Environmental Affairs,FALSE
en-US,Massachusetts Agencies,Massachusetts Department of Environmental Protection,FALSE
en-US,Massachusetts Agencies,Massachusetts Executive Office of Health and Human Services,FALSE
en-US,Massachusetts Agencies,Massachusetts Highway Department,FALSE
en-US,Massachusetts Agencies,Massachusetts Executive Office of Labor and Workforce Development,FALSE
en-US,Massachusetts Agencies,Massachusetts Lottery,FALSE
en-US,Massachusetts Agencies,Martha's Vineyard Transit Authority,FALSE
en-US,Massachusetts Agencies,Massachusetts Board of Library Commissioners,FALSE
en-US,Massachusetts Agencies,Massachusetts Department of Mental Health,FALSE
en-US,Massachusetts Agencies,Massachusetts Department of Public Health,FALSE
en-US,Massachusetts Agencies,Massachusetts Department of Public Utilities,FALSE
en-US,Massachusetts Agencies,Massachusetts Department of Youth Services,FALSE
en-US,Massachusetts Agencies,Massachusetts Development Finance Agency,FALSE
en-US,Massachusetts Agencies,Nantucket Regional Transit Authority,FALSE
en-US,Massachusetts Agencies,Massachusetts Port Authority,FALSE
en-US,Massachusetts Agencies,Massachusetts School Building Authority,FALSE
en-US,Massachusetts Agencies,Southeastern Regional Transit Authority,FALSE
en-US,Massachusetts Agencies,State Reform School for Boys,FALSE
en-US,Massachusetts Agencies,Massachusetts Toxics Use Reduction Institute,FALSE
en-US,Massachusetts Agencies,Massachusetts Department of Transportation,FALSE
en-US,Massachusetts Agencies,Massachusetts Water Resources Authority,FALSE
en-US,Minnesota Agencies,Minnesota Housing Finance Agency,FALSE
en-US,Minnesota Agencies,Minnesota Department of Human Rights,FALSE
en-US,Minnesota Agencies,Minnesota Indian Affairs Council,FALSE
en-US,Minnesota Agencies,Iron Range Resources and Rehabilitation Board,FALSE
en-US,Minnesota Agencies,Minnesota Department of Agriculture,FALSE
en-US,Minnesota Agencies,Minnesota Department of Corrections,FALSE
en-US,Minnesota Agencies,Minnesota Department of Education,FALSE
en-US,Minnesota Agencies,Minnesota Department of Employment and Economic Development,FALSE
en-US,Minnesota Agencies,Minnesota Department of Labor and Industry,FALSE
en-US,Minnesota Agencies,Minnesota Department of Natural Resources,FALSE
en-US,Minnesota Agencies,Minnesota Department of Transportation,FALSE
en-US,Minnesota Agencies,Minnesota Public Utilities Commission,FALSE
en-US,Minnesota Agencies,Minnesota State Lottery,FALSE
en-US,Minnesota Agencies,Minnesota Workers' Compensation Court of Appeals,FALSE
en-US,Minnesota Agencies,Minnesota Pollution Control Agency,FALSE
en-US,Mississippi Agencies,Mississippi Department of Agriculture and Commerce,FALSE
en-US,Mississippi Agencies,Mississippi Department of Archives and History,FALSE
en-US,Mississippi Agencies,Mississippi Department of Education,FALSE
en-US,Mississippi Agencies,Mississippi Department of Environmental Quality,FALSE
en-US,Mississippi Agencies,Mississippi Department of Human Services,FALSE
en-US,Mississippi Agencies,Mississippi Department of Marine Resources,FALSE
en-US,Mississippi Agencies,Mississippi Department of Mental Health,FALSE
en-US,Mississippi Agencies,Mississippi Department of Public Safety,FALSE
en-US,Mississippi Agencies,Mississippi Forestry Commission,FALSE
en-US,Mississippi Agencies,Mississippi Insurance Department,FALSE
en-US,Mississippi Agencies,Mississippi National Guard,FALSE
en-US,Mississippi Agencies,Mississippi Public Service Commission,FALSE
en-US,Mississippi Agencies,Mississippi State Sovereignty Commission,FALSE
en-US,Mississippi Agencies,Pat Harrison Waterway District,FALSE
en-US,Missouri Agencies,Missouri Department of Agriculture,FALSE
en-US,Missouri Agencies,Missouri Division of Youth Services,FALSE
en-US,Missouri Agencies,Missouri Conservationist,FALSE
en-US,Missouri Agencies,Missouri Department of Conservation,FALSE
en-US,Missouri Agencies,Missouri Department of Corrections,FALSE
en-US,Missouri Agencies,Missouri Department of Elementary and Secondary Education,FALSE
en-US,Missouri Agencies,Missouri Department of Natural Resources,FALSE
en-US,Missouri Agencies,Missouri Department of Revenue,FALSE
en-US,Missouri Agencies,Missouri Department of Social Services,FALSE
en-US,Missouri Agencies,Missouri Department of Transportation,FALSE
en-US,Missouri Agencies,Missouri Gaming Commission,FALSE
en-US,Missouri Agencies,Missouri Lottery,FALSE
en-US,Missouri Agencies,Missouri Public Service Commission,FALSE
en-US,Montana Agencies,Montana Historical Society,FALSE
en-US,Montana Agencies,"Montana Department of Fish, Wildlife and Parks",FALSE
en-US,Montana Agencies,Montana Department of Natural Resources and Conservation,FALSE
en-US,Montana Agencies,Montana Department of Transportation,FALSE
en-US,Montana Agencies,Montana Lottery,FALSE
en-US,Montana Agencies,Montana National Guard,FALSE
en-US,Montana Agencies,Montana Office of Public Instruction,FALSE
en-US,Montana Agencies,Montana Public Service Commission,FALSE
en-US,Nebraska Agencies,Nebraska State Historical Society,FALSE
en-US,Nebraska Agencies,Nebraska Library Commission,FALSE
en-US,Nebraska Agencies,Nebraska Department of Economic Development,FALSE
en-US,Nebraska Agencies,Nebraska Department of Education,FALSE
en-US,Nebraska Agencies,Nebraska Department of Health & Human Services,FALSE
en-US,Nebraska Agencies,Nebraska Forest Service,FALSE
en-US,Nebraska Agencies,Nebraska Public Service Commission,FALSE
en-US,Nebraska Agencies,Nebraska Department of Roads,FALSE
en-US,Nebraska Agencies,Nebraska State College System,FALSE
en-US,Nebraska Agencies,University of Nebraska system,FALSE
en-US,Nevada Agencies,Nevada Athletic Commission,FALSE
en-US,Nevada Agencies,Nevada Bureau of Mines and Geology,FALSE
en-US,Nevada Agencies,Nevada Department of Conservation and Natural Resources,FALSE
en-US,Nevada Agencies,Nevada Department of Cultural Affairs,FALSE
en-US,Nevada Agencies,Nevada Department of Education,FALSE
en-US,Nevada Agencies,Nevada State Ethics Commission,FALSE
en-US,Nevada Agencies,Nevada Division of Forestry,FALSE
en-US,Nevada Agencies,Nevada Gaming Commission,FALSE
en-US,Nevada Agencies,Nevada High-Speed Rail Authority,FALSE
en-US,Nevada Agencies,Nevada Commission on Ethics,FALSE
en-US,Nevada Agencies,Nevada Department of Health and Human Services,FALSE
en-US,Nevada Agencies,Nevada Department of Motor Vehicles,FALSE
en-US,Nevada Agencies,Nevada Department of Transportation,FALSE
en-US,Nevada Agencies,Nevada Division of Child and Family Services,FALSE
en-US,Nevada Agencies,Nevada Executive Ethics Commission,FALSE
en-US,Nevada Agencies,Nevada Legislative Ethics Commission,FALSE
en-US,Nevada Agencies,Nevada Public Utilities Commission,FALSE
en-US,Nevada Agencies,Nevada State Board of Medical Examiners,FALSE
en-US,Nevada Agencies,Agency for Nuclear Projects,FALSE
en-US,Nevada Agencies,Nevada Railroad Commission,FALSE
en-US,Nevada Agencies,Nevada Renewable Energy and Energy Efficiency Authority,FALSE
en-US,Nevada Agencies,List of Nevada state agencies,FALSE
en-US,Nevada Agencies,Nevada State Treasurer,FALSE
en-US,Nevada Agencies,Nevada Department of Wildlife,FALSE
en-US,New Hampshire Agencies,New Hampshire Department of Education,FALSE
en-US,New Hampshire Agencies,New Hampshire Film and Television Office,FALSE
en-US,New Hampshire Agencies,New Hampshire Fish and Game Department,FALSE
en-US,New Hampshire Agencies,New Hampshire Department of Health & Human Services,FALSE
en-US,New Hampshire Agencies,New Hampshire Department of Justice,FALSE
en-US,New Hampshire Agencies,New Hampshire Liquor Commission,FALSE
en-US,New Hampshire Agencies,New Hampshire Lottery,FALSE
en-US,New Hampshire Agencies,New Hampshire Division of Parks and Recreation,FALSE
en-US,New Hampshire Agencies,New Hampshire Police Standards and Training Council,FALSE
en-US,New Hampshire Agencies,New Hampshire Public Utilities Commission,FALSE
en-US,New Hampshire Agencies,New Hampshire Real Estate Commission,FALSE
en-US,New Hampshire Agencies,New Hampshire Retirement System,FALSE
en-US,New Hampshire Agencies,New Hampshire Department of Safety,FALSE
en-US,New Hampshire Agencies,New Hampshire Department of Transportation,FALSE
en-US,New Jersey Agencies,New Jersey Department of Agriculture,FALSE
en-US,New Jersey Agencies,New Jersey State Athletic Control Board,FALSE
en-US,New Jersey Agencies,New Jersey Department of Banking and Insurance,FALSE
en-US,New Jersey Agencies,New Jersey Board of Public Utilities,FALSE
en-US,New Jersey Agencies,New Jersey Casino Control Commission,FALSE
en-US,New Jersey Agencies,Casino Reinvestment Development Authority,FALSE
en-US,New Jersey Agencies,New Jersey Department of Community Affairs,FALSE
en-US,New Jersey Agencies,New Jersey Division of Consumer Affairs,FALSE
en-US,New Jersey Agencies,Council on Affordable Housing,FALSE
en-US,New Jersey Agencies,New Jersey State Council on the Arts,FALSE
en-US,New Jersey Agencies,Division of Child Protection and Permanency,FALSE
en-US,New Jersey Agencies,New Jersey Economic Development Authority,FALSE
en-US,New Jersey Agencies,New Jersey Department of Education,FALSE
en-US,New Jersey Agencies,New Jersey Department of Environmental Protection,FALSE
en-US,New Jersey Agencies,New Jersey Forest Fire Service,FALSE
en-US,New Jersey Agencies,New Jersey Department of Health and Senior Services,FALSE
en-US,New Jersey Agencies,Highlands Water Protection and Planning Council,FALSE
en-US,New Jersey Agencies,New Jersey Historical Commission,FALSE
en-US,New Jersey Agencies,New Jersey Commission on Holocaust Education,FALSE
en-US,New Jersey Agencies,New Jersey Department of Labor and Workforce Development,FALSE
en-US,New Jersey Agencies,List of New Jersey state firewardens,FALSE
en-US,New Jersey Agencies,New Jersey Motor Vehicle Commission,FALSE
en-US,New Jersey Agencies,New Jersey Department of Military and Veterans Affairs,FALSE
en-US,New Jersey Agencies,New Jersey Department of the Public Advocate,FALSE
en-US,New Jersey Agencies,New Jersey Detective Agency,FALSE
en-US,New Jersey Agencies,New Jersey Division of the Rate Counsel,FALSE
en-US,New Jersey Agencies,New Jersey Election Law Enforcement Commission,FALSE
en-US,New Jersey Agencies,New Jersey Juvenile Justice Commission,FALSE
en-US,New Jersey Agencies,New Jersey Lottery,FALSE
en-US,New Jersey Agencies,New Jersey State Detectives,FALSE
en-US,New Jersey Agencies,New Jersey State Library,FALSE
en-US,New Jersey Agencies,New Jersey State Police,FALSE
en-US,New Jersey Agencies,New Jersey Tidelands Resource Council,FALSE
en-US,New Jersey Agencies,New Jersey Turnpike Authority,FALSE
en-US,New Jersey Agencies,North Jersey Transportation Planning Authority,FALSE
en-US,New Jersey Agencies,New Jersey Division of Fish and Wildlife,FALSE
en-US,New Jersey Agencies,New Jersey Division of Parks and Forestry,FALSE
en-US,New Jersey Agencies,New Jersey State Planning Commission,FALSE
en-US,New Jersey Agencies,New Jersey Schools Development Authority,FALSE
en-US,New Jersey Agencies,South Jersey Transportation Authority,FALSE
en-US,New Jersey Agencies,New Jersey Sports and Exposition Authority,FALSE
en-US,New Jersey Agencies,New Jersey Department of Transportation,FALSE
en-US,New Jersey Agencies,New Jersey Department of the Treasury,FALSE
en-US,New Jersey Agencies,New Jersey Wine Industry Advisory Council,FALSE
en-US,New Mexico Agencies,New Mexico Department of Transportation,FALSE
en-US,New Mexico Agencies,New Mexico Livestock Board,FALSE
en-US,New Mexico Agencies,New Mexico Alcohol and Gaming Division,FALSE
en-US,New Mexico Agencies,"New Mexico Children, Youth, and Families Department",FALSE
en-US,New Mexico Agencies,New Mexico Department of Cultural Affairs,FALSE
en-US,New Mexico Agencies,New Mexico Historic Preservation Division,FALSE
en-US,New Mexico Agencies,New Mexico Motor Vehicle Division,FALSE
en-US,New Mexico Agencies,New Mexico Spaceport Authority,FALSE
en-US,New Mexico Agencies,New Mexico Taxation and Revenue Department,FALSE
en-US,New Mexico Agencies,New Mexico Tourism Department,FALSE
en-US,New Mexico Agencies,New Mexico Public Education Department,FALSE
en-US,New Mexico Agencies,New Mexico Public Regulation Commission,FALSE
en-US,New York Agencies,New York State Athletic Commission,FALSE
en-US,New York Agencies,New York State Gaming Commission,FALSE
en-US,New York Agencies,Legislative Bill Drafting Commission,FALSE
en-US,New York Agencies,New York State Division of Military and Naval Affairs,FALSE
en-US,New York Agencies,New York State Board of Elections,FALSE
en-US,New York Agencies,New York State Commission of Correction,FALSE
en-US,New York Agencies,New York State Department of Transportation,FALSE
en-US,New York Agencies,New York State Financial Control Board,FALSE
en-US,New York Agencies,New York State Office for the Prevention of Domestic Violence,FALSE
en-US,New York Agencies,"New York State Office of Parks, Recreation and Historic Preservation",FALSE
en-US,New York Agencies,New York State Public Authorities Control Board,FALSE
en-US,New York Agencies,Office of Professional Medical Conduct,FALSE
en-US,New York Agencies,Spending and Government Efficiency Commission,FALSE
en-US,New York Agencies,New York State Commission on Judicial Conduct,FALSE
en-US,North Carolina Agencies,North Carolina Department of Environmental Quality,FALSE
en-US,North Carolina Agencies,North Carolina Department of Public Instruction,FALSE
en-US,North Carolina Agencies,North Carolina Division of Motor Vehicles,FALSE
en-US,North Carolina Agencies,North Carolina Division of Forest Resources,FALSE
en-US,North Carolina Agencies,North Carolina Forest Service,FALSE
en-US,North Carolina Agencies,North Carolina Department of Health and Human Services,FALSE
en-US,North Carolina Agencies,North Carolina Department of Agriculture and Consumer Services,FALSE
en-US,North Carolina Agencies,North Carolina Department of Juvenile Justice and Delinquency Prevention,FALSE
en-US,North Carolina Agencies,North Carolina Department of Military and Veterans Affairs,FALSE
en-US,North Carolina Agencies,North Carolina Department of Natural and Cultural Resources,FALSE
en-US,North Carolina Agencies,North Carolina Safety and Emission Vehicle Inspection,FALSE
en-US,North Carolina Agencies,North Carolina State Board of Dental Examiners,FALSE
en-US,North Carolina Agencies,North Carolina Utilities Commission,FALSE
en-US,North Carolina Agencies,North Carolina Wildlife Resources Commission,FALSE
en-US,North Dakota Agencies,Bank of North Dakota,FALSE
en-US,North Dakota Agencies,North Dakota Department of Agriculture,FALSE
en-US,North Dakota Agencies,North Dakota Department of Career and Technical Education,FALSE
en-US,North Dakota Agencies,North Dakota Department of Labor,FALSE
en-US,North Dakota Agencies,North Dakota Department of Public Instruction,FALSE
en-US,North Dakota Agencies,North Dakota Department of Transportation,FALSE
en-US,North Dakota Agencies,North Dakota Lottery,FALSE
en-US,North Dakota Agencies,North Dakota Mill and Elevator,FALSE
en-US,North Dakota Agencies,North Dakota State Board of Higher Education,FALSE
en-US,North Dakota Agencies,North Dakota Workforce Safety and Insurance,FALSE
en-US,North Dakota Agencies,North Dakota Public Service Commission,FALSE
en-US,North Dakota Agencies,State Historical Society of North Dakota,FALSE
en-US,Ohio Agencies,Ohio Department of Administrative Services,FALSE
en-US,Ohio Agencies,Ohio Department of Aging,FALSE
en-US,Ohio Agencies,Ohio Department of Agriculture,FALSE
en-US,Ohio Agencies,Ohio Department of Commerce,FALSE
en-US,Ohio Agencies,Ohio Department of Education,FALSE
en-US,Ohio Agencies,Ohio Environmental Protection Agency,FALSE
en-US,Ohio Agencies,Ohio Department of Health,FALSE
en-US,Ohio Agencies,Ohio Department of Insurance,FALSE
en-US,Ohio Agencies,Ohio Department of Job and Family Services,FALSE
en-US,Ohio Agencies,Ohio Department of Natural Resources,FALSE
en-US,Ohio Agencies,Ohio Arts Council,FALSE
en-US,Ohio Agencies,Ohio Casino Control Commission,FALSE
en-US,Ohio Agencies,Ohio Commission on Dispute Resolution and Conflict Management,FALSE
en-US,Ohio Agencies,Ohio Department of Public Safety,FALSE
en-US,Ohio Agencies,Ohio Department of Rehabilitation and Correction,FALSE
en-US,Ohio Agencies,Ohio Department of Taxation,FALSE
en-US,Ohio Agencies,Ohio Department of Transportation,FALSE
en-US,Ohio Agencies,Ohio Department of Veterans Services,FALSE
en-US,Ohio Agencies,Ohio Department of Youth Services,FALSE
en-US,Oklahoma Agencies,Oklahoma Aeronautics Commission,FALSE
en-US,Oklahoma Agencies,"Oklahoma Department of Agriculture, Food, and Forestry",FALSE
en-US,Oklahoma Agencies,Oklahoma State Banking Department,FALSE
en-US,Oklahoma Agencies,Oklahoma State Bond Advisor,FALSE
en-US,Oklahoma Agencies,Oklahoma Capitol Improvement Authority,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Central Services,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Commerce,FALSE
en-US,Oklahoma Agencies,Oklahoma Conservation Commission,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Consumer Credit,FALSE
en-US,Oklahoma Agencies,Oklahoma State Regents for Higher Education,FALSE
en-US,Oklahoma Agencies,Oklahoma State Department of Education,FALSE
en-US,Oklahoma Agencies,Oklahoma Employment Security Commission,FALSE
en-US,Oklahoma Agencies,Oklahoma Secretary of Energy,FALSE
en-US,Oklahoma Agencies,Oklahoma Secretary of the Environment,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Environmental Quality,FALSE
en-US,Oklahoma Agencies,Oklahoma State Board of Equalization,FALSE
en-US,Oklahoma Agencies,Oklahoma Ethics Commission,FALSE
en-US,Oklahoma Agencies,Oklahoma Office of Management and Enterprise Services,FALSE
en-US,Oklahoma Agencies,Oklahoma Council on Firefighter Training,FALSE
en-US,Oklahoma Agencies,Oklahoma Firefighters Pension and Retirement System,FALSE
en-US,Oklahoma Agencies,Oklahoma Health Care Authority,FALSE
en-US,Oklahoma Agencies,Oklahoma State Department of Health,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Human Services,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Insurance,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Labor,FALSE
en-US,Oklahoma Agencies,Oklahoma Commissioners of the Land Office,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Libraries,FALSE
en-US,Oklahoma Agencies,Oklahoma Marginal Wells Commission,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Mental Health and Substance Abuse Services,FALSE
en-US,Oklahoma Agencies,Oklahoma Military Department,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Mines,FALSE
en-US,Oklahoma Agencies,Nigh Commission,FALSE
en-US,Oklahoma Agencies,Oklahoma Office of Educational Quality and Accountability,FALSE
en-US,Oklahoma Agencies,Oklahoma Merit Protection Commission,FALSE
en-US,Oklahoma Agencies,Oklahoma Office of Personnel Management,FALSE
en-US,Oklahoma Agencies,Oklahoma Council on Law Enforcement Education and Training,FALSE
en-US,Oklahoma Agencies,Oklahoma Educational Television Authority,FALSE
en-US,Oklahoma Agencies,Oklahoma Energy Resources Board,FALSE
en-US,Oklahoma Agencies,Oklahoma Historical Society,FALSE
en-US,Oklahoma Agencies,Oklahoma Public Employees Retirement System,FALSE
en-US,Oklahoma Agencies,Oklahoma Space Industry Development Authority,FALSE
en-US,Oklahoma Agencies,Oklahoma Teachers' Retirement System,FALSE
en-US,Oklahoma Agencies,Oklahoma State Pension Commission,FALSE
en-US,Oklahoma Agencies,Oklahoma Police Pension and Retirement System,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Rehabilitation Services,FALSE
en-US,Oklahoma Agencies,Oklahoma Center for the Advancement of Science and Technology,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Securities,FALSE
en-US,Oklahoma Agencies,Oklahoma Tax Commission,FALSE
en-US,Oklahoma Agencies,Oklahoma Tobacco Settlement Endowment Trust,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Tourism and Recreation,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Transportation,FALSE
en-US,Oklahoma Agencies,Oklahoma Department of Veterans Affairs,FALSE
en-US,Oklahoma Agencies,Oklahoma Water Resources Board,FALSE
en-US,Oregon Agencies,Oregon Department of Administrative Services,FALSE
en-US,Oregon Agencies,Oregon Department of Agriculture,FALSE
en-US,Oregon Agencies,Oregon State Archives,FALSE
en-US,Oregon Agencies,Oregon Arts Commission,FALSE
en-US,Oregon Agencies,Oregon Department of Aviation,FALSE
en-US,Oregon Agencies,Oregon State Bar,FALSE
en-US,Oregon Agencies,Oregon Business Development Department,FALSE
en-US,Oregon Agencies,Oregon State Capitol Foundation,FALSE
en-US,Oregon Agencies,Oregon Office of Community Colleges and Workforce Development,FALSE
en-US,Oregon Agencies,Oregon Department of Consumer and Business Services,FALSE
en-US,Oregon Agencies,Oregon Criminal Justice Commission,FALSE
en-US,Oregon Agencies,Oregon Office of Degree Authorization,FALSE
en-US,Oregon Agencies,Oregon Economic and Community Development Department,FALSE
en-US,Oregon Agencies,Oregon Department of Education,FALSE
en-US,Oregon Agencies,Oregon State Elections Division,FALSE
en-US,Oregon Agencies,Oregon Employment Department,FALSE
en-US,Oregon Agencies,Oregon Department of Energy,FALSE
en-US,Oregon Agencies,Oregon Department of Environmental Quality,FALSE
en-US,Oregon Agencies,Oregon State Fair,FALSE
en-US,Oregon Agencies,Oregon Department of Fish and Wildlife,FALSE
en-US,Oregon Agencies,Oregon Forest Resources Institute,FALSE
en-US,Oregon Agencies,Oregon Board of Forestry,FALSE
en-US,Oregon Agencies,Oregon Department of Forestry,FALSE
en-US,Oregon Agencies,Oregon State Board of Geologist Examiners,FALSE
en-US,Oregon Agencies,Oregon Department of Geology and Mineral Industries,FALSE
en-US,Oregon Agencies,Oregon Government Ethics Commission,FALSE
en-US,Oregon Agencies,Oregon Health Authority,FALSE
en-US,Oregon Agencies,Hillcrest Youth Correctional Facility,FALSE
en-US,Oregon Agencies,Oregon Housing and Community Services Department,FALSE
en-US,Oregon Agencies,Oregon Department of Human Services,FALSE
en-US,Oregon Agencies,Oregon Department of Justice,FALSE
en-US,Oregon Agencies,Oregon Bureau of Labor and Industries,FALSE
en-US,Oregon Agencies,Oregon Department of Land Conservation and Development,FALSE
en-US,Oregon Agencies,Oregon Department of State Lands,FALSE
en-US,Oregon Agencies,Oregon State Library,FALSE
en-US,Oregon Agencies,Oregon Liquor Control Commission,FALSE
en-US,Oregon Agencies,Oregon Medical Board,FALSE
en-US,Oregon Agencies,Oregon Military Department,FALSE
en-US,Oregon Agencies,Oregon Occupational Safety and Health Division,FALSE
en-US,Oregon Agencies,Oregon Early Learning Division,FALSE
en-US,Oregon Agencies,Oregon Higher Education Coordinating Commission,FALSE
en-US,Oregon Agencies,Oregon Office of University Coordination,FALSE
en-US,Oregon Agencies,Oregon Psychiatric Security Review Board,FALSE
en-US,Oregon Agencies,Oregon State Board of Education,FALSE
en-US,Oregon Agencies,Oregon Teachers Standards and Practices Commission,FALSE
en-US,Oregon Agencies,Oregon Youth Development Division,FALSE
en-US,Oregon Agencies,Oregon's Chief Education Office,FALSE
en-US,Oregon Agencies,Oregon Parks and Recreation Department,FALSE
en-US,Oregon Agencies,Oregon Performance Reporting Information System,FALSE
en-US,Oregon Agencies,Oregon Public Employees Retirement System,FALSE
en-US,Oregon Agencies,Oregon PHL/DEQ Laboratories,FALSE
en-US,Oregon Agencies,Oregon Department of Public Safety Standards and Training,FALSE
en-US,Oregon Agencies,Oregon Public Utility Commission,FALSE
en-US,Oregon Agencies,Oregon Department of Revenue,FALSE
en-US,Oregon Agencies,Oregon Office of Student Access and Completion,FALSE
