Term Locale,Term Type,Term,CaseSensitive
en-US,California Agencies,Colorado River Board of California,FALSE
en-US,California Agencies,California Department of Conservation,FALSE
en-US,California Agencies,California Conservation Corps,FALSE
en-US,California Agencies,California Department of Consumer Affairs,FALSE
en-US,California Agencies,California Contractors State License Board,FALSE
en-US,California Agencies,California Department of Fish and Wildlife,FALSE
en-US,California Agencies,California Department of Toxic Substances Control,FALSE
en-US,California Agencies,California Department of Developmental Services,FALSE
en-US,California Agencies,California Department of Education,FALSE
en-US,California Agencies,California Emergency Medical Services Authority,FALSE
en-US,California Agencies,Employment Development Department,FALSE
en-US,California Agencies,California Energy Commission,FALSE
en-US,California Agencies,California Environmental Protection Agency,FALSE
en-US,California Agencies,Hazardous Waste and Substances Sites List,FALSE
en-US,California Agencies,California Department of Fair Employment and Housing,FALSE
en-US,California Agencies,California Department of Finance,FALSE
en-US,California Agencies,California Department of Food and Agriculture,FALSE
en-US,California Agencies,California Department of Forestry and Fire Protection,FALSE
en-US,California Agencies,California Franchise Tax Board,FALSE
en-US,California Agencies,California Department of General Services,FALSE
en-US,California Agencies,California Geological Survey,FALSE
en-US,California Agencies,California Government Operations Agency,FALSE
en-US,California Agencies,California Health and Human Services Agency,FALSE
en-US,California Agencies,California High-Speed Rail Authority,FALSE
en-US,California Agencies,California Department of Housing and Community Development,FALSE
en-US,California Agencies,California Department of Human Resources,FALSE
en-US,California Agencies,California Institute for Regenerative Medicine,FALSE
en-US,California Agencies,California Department of Insurance,FALSE
en-US,California Agencies,California Department of Justice,FALSE
en-US,California Agencies,California Division of Juvenile Justice,FALSE
en-US,California Agencies,California Labor and Workforce Development Agency,FALSE
en-US,California Agencies,California Law Revision Commission,FALSE
en-US,California Agencies,Little Hoover Commission,FALSE
en-US,California Agencies,California Major Risk Medical Insurance Program,FALSE
en-US,California Agencies,California Managed Risk Medical Insurance Board,FALSE
en-US,California Agencies,Medical Board of California,FALSE
en-US,California Agencies,California Military Department,FALSE
en-US,California Agencies,California Department of Motor Vehicles,FALSE
en-US,California Agencies,California Natural Resources Agency,FALSE
en-US,California Agencies,California Division of Occupational Safety and Health,FALSE
en-US,California Agencies,California Office of Administrative Law,FALSE
en-US,California Agencies,California Office of Environmental Health Hazard Assessment,FALSE
en-US,California Agencies,California Department of Parks and Recreation,FALSE
en-US,California Agencies,California State Personnel Board,FALSE
en-US,California Agencies,California Postsecondary Education Commission,FALSE
en-US,California Agencies,California Prison Industry Authority,FALSE
en-US,California Agencies,California Department of Public Health,FALSE
en-US,California Agencies,California Public Utilities Commission,FALSE
en-US,California Agencies,California Bureau of Real Estate Appraisers,FALSE
en-US,California Agencies,California Register of Historical Resources,FALSE
en-US,California Agencies,California Department of Resources Recycling and Recovery,FALSE
en-US,California Agencies,San Francisco Bay Conservation and Development Commission,FALSE
en-US,California Agencies,San Francisco Estuary Partnership,FALSE
en-US,California Agencies,Santa Monica Mountains Conservancy,FALSE
en-US,California Agencies,California Science Center,FALSE
en-US,California Agencies,Sierra Nevada Conservancy,FALSE
en-US,California Agencies,California Department of Social Services,FALSE
en-US,California Agencies,California State Board of Education,FALSE
en-US,California Agencies,California State Lands Commission,FALSE
en-US,California Agencies,California State Library,FALSE
en-US,California Agencies,California State Transportation Agency,FALSE
en-US,California Agencies,California Strawberry Commission,FALSE
en-US,California Agencies,California Commission on Teacher Credentialing,FALSE
en-US,California Agencies,California Department of Technology,FALSE
en-US,California Agencies,California Office of Tourism,FALSE
en-US,California Agencies,California Department of Transportation,FALSE
en-US,California Agencies,California Department of Water Resources,FALSE
en-US,California Agencies,California State Water Resources Control Board,FALSE
en-US,Colorado Agencies,Reginald Bicha,FALSE
en-US,Colorado Agencies,Colorado Council on the Arts,FALSE
