Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,Geopolitical - Courts,65,Federal,New Hampshire,Federal District Court,District of New Hampshire,D.N.H.
en-US,Geopolitical - Courts,66,Federal,New Jersey,Federal District Court,District of New Jersey,D.N.J.
en-US,Geopolitical - Courts,67,Federal,New Mexico,Federal District Court,District of New Mexico,D.N.M.
en-US,Geopolitical - Courts,68,Federal,New York,Federal District Court,Eastern District of New York,E.D.N.Y.
en-US,Geopolitical - Courts,69,Federal,New York,Federal District Court,Northern District of New York,N.D.N.Y.
en-US,Geopolitical - Courts,70,Federal,New York,Federal District Court,Southern District of New York,W.D.N.Y.
en-US,Geopolitical - Courts,71,Federal,North Carolina,Federal District Court,Eastern District of North Carolina,E.D.N.C.
en-US,Geopolitical - Courts,72,Federal,North Carolina,Federal District Court,Middle District of North Carolina,M.D.N.C.
en-US,Geopolitical - Courts,73,Federal,North Carolina,Federal District Court,Western District of North Carolina,W.D.N.C.
en-US,Geopolitical - Courts,74,Federal,North Dakota,Federal District Court,District of North Dakota,D.N.D.
en-US,Geopolitical - Courts,75,Federal,Northern Mariana Islands,Federal District Court,District of the Northern Mariana Islands,D.N. Mar. Is.
en-US,Geopolitical - Courts,76,Federal,Ohio,Federal District Court,Northern District of Ohio,N.D. Ohio
en-US,Geopolitical - Courts,77,Federal,Ohio,Federal District Court,Southern District of Ohio,S.D. Ohio
en-US,Geopolitical - Courts,78,Federal,Oklahoma,Federal District Court,Eastern District of Oklahoma,E.D. Okla.
en-US,Geopolitical - Courts,79,Federal,Oklahoma,Federal District Court,Northern District of Oklahoma,N.D. Okla.
en-US,Geopolitical - Courts,80,Federal,Oklahoma,Federal District Court,Western District of Oklahoma,W.D. Okla.
en-US,Geopolitical - Courts,81,Federal,Oregon,Federal District Court,District of Oregon,D. Or.
en-US,Geopolitical - Courts,82,Federal,Pennsylvania,Federal District Court,Eastern District of Pennsylvania,E.D. Pa.
en-US,Geopolitical - Courts,83,Federal,Pennsylvania,Federal District Court,Middle District of Pennsylvania,M.D. Pa.
en-US,Geopolitical - Courts,84,Federal,Pennsylvania,Federal District Court,Western District of Pennsylvania,W.D. Pa.
en-US,Geopolitical - Courts,85,Federal,Puerto Rico,Federal District Court,District of Puerto Rico,D.P.R.
en-US,Geopolitical - Courts,86,Federal,Rhode Island,Federal District Court,District of Rhode Island,D.R.I.
en-US,Geopolitical - Courts,87,Federal,South Carolina,Federal District Court,District of South Carolina,D.S.C.
en-US,Geopolitical - Courts,88,Federal,South Dakota,Federal District Court,District of South Dakota,D.S.D.
en-US,Geopolitical - Courts,89,Federal,Tennessee,Federal District Court,Eastern District of Tennessee,E.D. Tenn.
en-US,Geopolitical - Courts,90,Federal,Tennessee,Federal District Court,Middle District of Tennessee,M.D. Tenn.
en-US,Geopolitical - Courts,91,Federal,Tennessee,Federal District Court,Western District of Tennessee,W.D. Tenn.
en-US,Geopolitical - Courts,92,Federal,Texas,Federal District Court,Eastern District of Texas,E.D. Tex.
en-US,Geopolitical - Courts,93,Federal,Texas,Federal District Court,Northern District of Texas,N.D. Tex.
en-US,Geopolitical - Courts,94,Federal,Texas,Federal District Court,Southern District of Texas,S.D. Tex.
en-US,Geopolitical - Courts,95,Federal,Texas,Federal District Court,Western District of Texas,W.D. Tex.
en-US,Geopolitical - Courts,96,Federal,Utah,Federal District Court,District of Utah,D. Utah
en-US,Geopolitical - Courts,97,Federal,Vermont,Federal District Court,District of Vermont,D. Vt.
en-US,Geopolitical - Courts,98,Federal,Virginia,Federal District Court,Eastern District of Virginia,E.D. Va.
en-US,Geopolitical - Courts,99,Federal,Virginia,Federal District Court,Western District of Virginia,W.D. Va.
