Court ID,Court Type,Court Name,Court Abbreviation
123,Bankruptcy Court,Northern District of Florida,
124,Bankruptcy Court,Southern District of Florida,
125,Bankruptcy Court,Middle District of Georgia,
126,Bankruptcy Court,Northern District of Georgia,
127,Bankruptcy Court,Southern District of Georgia,
128,Bankruptcy Court,District of Guam,
129,Bankruptcy Court,District of Hawaii,
130,Bankruptcy Court,District of Idaho,
131,Bankruptcy Court,Central District of Illinois,
132,Bankruptcy Court,Northern District of Illinois,
133,Bankruptcy Court,Northern District of Indiana,
134,Bankruptcy Court,Southern District of Indiana,
135,Bankruptcy Court,Northern District of Iowa,
136,Bankruptcy Court,Southern District of Iowa,
137,Bankruptcy Court,District of Kansas,
138,Bankruptcy Court,Eastern District of Kentucky,
139,Bankruptcy Court,Western District of Kentucky,
140,Bankruptcy Court,Eastern District of Louisiana,
141,Bankruptcy Court,Middle District of Louisiana,
142,Bankruptcy Court,Western District of Louisiana,
143,Bankruptcy Court,District of Maine,
144,Bankruptcy Court,District of Maryland,
145,Bankruptcy Court,District of Massachusetts,
146,Bankruptcy Court,Eastern District of Michigan,
147,Bankruptcy Court,Western District of Michigan,
148,Bankruptcy Court,District of Minnesota,
149,Bankruptcy Court,Northern District of Mississippi,
150,Bankruptcy Court,Southern District of Mississippi,
151,Bankruptcy Court,Eastern District of Missouri,
152,Bankruptcy Court,Western District of Missouri,
153,Bankruptcy Court,District of Montana,
154,Bankruptcy Court,District of Nebraska,
155,Bankruptcy Court,District of Nevada,
156,Bankruptcy Court,District of New Hampshire,
157,Bankruptcy Court,District of New Jersey,
158,Bankruptcy Court,District of New Mexico,
159,Bankruptcy Court,Eastern District of New York,
160,Bankruptcy Court,Northern District of New York,
161,Bankruptcy Court,Southern District of New York,
162,Bankruptcy Court,Eastern District of North Carolina,
163,Bankruptcy Court,Middle District of North Carolina,
164,Bankruptcy Court,Western District of North Carolina,
165,Bankruptcy Court,District of North Dakota,
166,Bankruptcy Court,Northern District of Ohio,
167,Bankruptcy Court,Southern District of Ohio,
168,Bankruptcy Court,Eastern District of Oklahoma,
169,Bankruptcy Court,Northern District of Oklahoma,
170,Bankruptcy Court,Western District of Oklahoma,
171,Bankruptcy Court,District of Oregon,
172,Bankruptcy Court,Eastern District of Pennsylvania,
173,Bankruptcy Court,Middle District of Pennsylvania,
174,Bankruptcy Court,Western District of Pennsylvania,
