Court ID,Level,Court Type (en-US),Court Type (de-DE),Court Name,,,,,,,,,,,,,,,,,,,,,,,
57,,Local Court,Amtsgerichte,Überlingen,,,,,,,,,,,,,,,,,,,,,,,
58,,Local Court,Amtsgerichte,Villingen-Schwenningen,,,,,,,,,,,,,,,,,,,,,,,
59,State,Regional Court,Landgerichte,Landgericht Mannheim,,,,,,,,,,,,,,,,,,,,,,,
60,,Local Court,Amtsgerichte,Amtsgericht Mannheim,,,,,,,,,,,,,,,,,,,,,,,
61,,Local Court,Amtsgerichte,Schwetzingen,,,,,,,,,,,,,,,,,,,,,,,
62,,Local Court,Amtsgerichte,Weinheim,,,,,,,,,,,,,,,,,,,,,,,
63,State,Regional Court,Landgerichte,Landgericht Mosbach,,,,,,,,,,,,,,,,,,,,,,,
64,,Local Court,Amtsgerichte,Amtsgericht Adelsheim,,,,,,,,,,,,,,,,,,,,,,,
65,,Local Court,Amtsgerichte,Buchen (Odenwald),,,,,,,,,,,,,,,,,,,,,,,
66,,Local Court,Amtsgerichte,Mosbach,,,,,,,,,,,,,,,,,,,,,,,
67,,Local Court,Amtsgerichte,Tauberbischofsheim,,,,,,,,,,,,,,,,,,,,,,,
68,,Local Court,Amtsgerichte,Wertheim,,,,,,,,,,,,,,,,,,,,,,,
69,State,Regional Court,Landgerichte,Landgericht Offenburg,,,,,,,,,,,,,,,,,,,,,,,
70,,Local Court,Amtsgerichte,Amtsgericht Gengenbach,,,,,,,,,,,,,,,,,,,,,,,
71,,Local Court,Amtsgerichte,Kehl,,,,,,,,,,,,,,,,,,,,,,,
72,,Local Court,Amtsgerichte,Lahr,,,,,,,,,,,,,,,,,,,,,,,
73,,Local Court,Amtsgerichte,Oberkirch,,,,,,,,,,,,,,,,,,,,,,,
74,,Local Court,Amtsgerichte,Offenburg,,,,,,,,,,,,,,,,,,,,,,,
75,,Local Court,Amtsgerichte,Wolfach,,,,,,,,,,,,,,,,,,,,,,,
76,State,Regional Court,Landgerichte,Landgericht Waldshut-Tiengen,,,,,,,,,,,,,,,,,,,,,,,
77,,Local Court,Amtsgerichte,Amtsgericht Bad Säckingen,,,,,,,,,,,,,,,,,,,,,,,
78,,Local Court,Amtsgerichte,St. Blasien,,,,,,,,,,,,,,,,,,,,,,,
79,,Local Court,Amtsgerichte,Schönau,,,,,,,,,,,,,,,,,,,,,,,
80,,Local Court,Amtsgerichte,Schopfheim,,,,,,,,,,,,,,,,,,,,,,,
81,,Local Court,Amtsgerichte,Waldshut-Tiengen,,,,,,,,,,,,,,,,,,,,,,,
82,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Stuttgart,,,,,,,,,,,,,,,,,,,,,,,
83,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Bamberg,,,,,,,,,,,,,,,,,,,,,,,
84,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht München,,,,,,,,,,,,,,,,,,,,,,,
85,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Nürnberg,,,,,,,,,,,,,,,,,,,,,,,
86,Regional,Higher Regional Court,Obere Landesgerichte,Kammergericht,,,,,,,,,,,,,,,,,,,,,,,
87,Regional,Higher Regional Court,Obere Landesgerichte,Brandenburgisches Oberlandesgericht,,,,,,,,,,,,,,,,,,,,,,,
88,Regional,Higher Regional Court,Obere Landesgerichte,Hanseatisches Oberlandesgericht Bremen,,,,,,,,,,,,,,,,,,,,,,,
89,Regional,Higher Regional Court,Obere Landesgerichte,Hanseatisches Oberlandesgericht,,,,,,,,,,,,,,,,,,,,,,,
90,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Frankfurt am Main,,,,,,,,,,,,,,,,,,,,,,,
91,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Rostock,,,,,,,,,,,,,,,,,,,,,,,
92,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Braunschweig,,,,,,,,,,,,,,,,,,,,,,,
93,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Celle,,,,,,,,,,,,,,,,,,,,,,,
94,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Oldenburg,,,,,,,,,,,,,,,,,,,,,,,
95,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Düsseldorf,,,,,,,,,,,,,,,,,,,,,,,
96,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Hamm,,,,,,,,,,,,,,,,,,,,,,,
97,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Köln,,,,,,,,,,,,,,,,,,,,,,,
98,Regional,Higher Regional Court,Obere Landesgerichte,Pfälzisches Oberlandesgericht,,,,,,,,,,,,,,,,,,,,,,,
