Term Category (en-US),Court ID,Level (en-US),Jurisdiction,Court Type (en-US),Court Type (de-DE),Court Name (de-DE),Alias (de-DE)
Geopolitical - Courts,55,Local,Singen,Local Court,Amtsgerichte,Amtsgericht Singen,
Geopolitical - Courts,56,Local,Stockach,Local Court,Amtsgerichte,Amtsgericht Stockach,
Geopolitical - Courts,57,Local,Überlingen,Local Court,Amtsgerichte,Amtsgericht Überlingen,
Geopolitical - Courts,58,Local,Villingen-Schwenningen,Local Court,Amtsgerichte,Amtsgericht Villingen-Schwenningen,
Geopolitical - Courts,59,Regional,Mannheim,Regional Court,Landgerichte,Landgericht Mannheim,
Geopolitical - Courts,60,Local,Mannheim,Local Court,Amtsgerichte,Amtsgericht Mannheim,
Geopolitical - Courts,61,Local,Schwetzingen,Local Court,Amtsgerichte,Amtsgericht Schwetzingen,
Geopolitical - Courts,62,Local,Weinheim,Local Court,Amtsgerichte,Amtsgericht Weinheim,
Geopolitical - Courts,63,Regional,Mosbach,Regional Court,Landgerichte,Landgericht Mosbach,
Geopolitical - Courts,64,Local,Adelsheim,Local Court,Amtsgerichte,Amtsgericht Adelsheim,
Geopolitical - Courts,65,Local,Buchen,Local Court,Amtsgerichte,Amtsgericht Buchen,Amtsgerichte Buchen (Odenwald)
Geopolitical - Courts,66,Local,Mosbach,Local Court,Amtsgerichte,Amtsgericht Mosbach,
Geopolitical - Courts,67,Local,Tauberbischofsheim,Local Court,Amtsgerichte,Amtsgericht Tauberbischofsheim,
Geopolitical - Courts,68,Local,Wertheim,Local Court,Amtsgerichte,Amtsgericht Wertheim,
Geopolitical - Courts,69,Regional,Offenburg,Regional Court,Landgerichte,Landgericht Offenburg,
Geopolitical - Courts,70,Local,Gengenbach,Local Court,Amtsgerichte,Amtsgericht Gengenbach,
Geopolitical - Courts,71,Local,Kehl,Local Court,Amtsgerichte,Amtsgericht Kehl,
Geopolitical - Courts,72,Local,Lahr,Local Court,Amtsgerichte,Amtsgericht Lahr,
Geopolitical - Courts,73,Local,Oberkirch,Local Court,Amtsgerichte,Amtsgericht Oberkirch,
Geopolitical - Courts,74,Local,Offenburg,Local Court,Amtsgerichte,Amtsgericht Offenburg,
Geopolitical - Courts,75,Local,Wolfach,Local Court,Amtsgerichte,Amtsgericht Wolfach,
Geopolitical - Courts,76,Regional,Waldshut-Tiengen,Regional Court,Landgerichte,Landgericht Waldshut-Tiengen,
Geopolitical - Courts,77,Local,Bad Säckingen,Local Court,Amtsgerichte,Amtsgericht Bad Säckingen,
Geopolitical - Courts,78,Local,St. Blasien,Local Court,Amtsgerichte,Amtsgericht St. Blasien,
Geopolitical - Courts,79,Local,Schönau,Local Court,Amtsgerichte,Amtsgericht Schönau,
Geopolitical - Courts,80,Local,Schopfheim,Local Court,Amtsgerichte,Amtsgericht Schopfheim,
Geopolitical - Courts,81,Local,Waldshut-Tiengen,Local Court,Amtsgerichte,Amtsgericht Waldshut-Tiengen,
Geopolitical - Courts,82,Regional,Stuttgart,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Stuttgart,
Geopolitical - Courts,83,Regional,Bamberg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Bamberg,
Geopolitical - Courts,84,Regional,München,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht München,
Geopolitical - Courts,85,Regional,Nürnberg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Nürnberg,
Geopolitical - Courts,86,Regional,Berlin,Higher Regional Court,Obere Landesgerichte,Kammergericht,
Geopolitical - Courts,87,Regional,Brandenburg,Higher Regional Court,Obere Landesgerichte,Brandenburgisches Oberlandesgericht,
Geopolitical - Courts,88,Regional,Bremen,Higher Regional Court,Obere Landesgerichte,Hanseatisches Oberlandesgericht Bremen,
Geopolitical - Courts,89,Regional,Hamburg,Higher Regional Court,Obere Landesgerichte,Hanseatisches Oberlandesgericht,
Geopolitical - Courts,90,Regional,Frankfurt am Main,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Frankfurt am Main,
Geopolitical - Courts,91,Regional,Rostock,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Rostock,
Geopolitical - Courts,92,Regional,Braunschweig,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Braunschweig,
Geopolitical - Courts,93,Regional,Celle,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Celle,
Geopolitical - Courts,94,Regional,Oldenburg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Oldenburg,
Geopolitical - Courts,95,Regional,Düsseldorf,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Düsseldorf,
Geopolitical - Courts,96,Regional,Hamm,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Hamm,
Geopolitical - Courts,97,Regional,Köln,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Köln,
Geopolitical - Courts,98,Regional,Pfälzisches,Higher Regional Court,Obere Landesgerichte,Pfälzisches Oberlandesgericht,
Geopolitical - Courts,99,Regional,Koblenz,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Koblenz,
Geopolitical - Courts,100,Regional,Saarland,Higher Regional Court,Obere Landesgerichte,Saarländisches Oberlandesgericht,
Geopolitical - Courts,101,Regional,Dresden,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Dresden,
Geopolitical - Courts,102,Regional,Naumburg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Naumburg,
Geopolitical - Courts,103,Regional,Schleswig-Holstein,Higher Regional Court,Obere Landesgerichte,Schleswig-Holsteinisches Oberlandesgericht,
Geopolitical - Courts,104,Regional,Thüringen,Higher Regional Court,Obere Landesgerichte,Thüringer Oberlandesgericht,
Geopolitical - Courts,105,Federal,Federal,Federal Labor Court,Bundesarbeitsgericht,Bundesarbeitsgericht,
Geopolitical - Courts,106,Regional,Baden-Württemberg,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Baden-Württemberg,
Geopolitical - Courts,107,Regional,München,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht München,
Geopolitical - Courts,108,Regional,Nürnberg,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Nürnberg,
Geopolitical - Courts,109,Regional,Berlin-Brandenburg,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Berlin-Brandenburg,
Geopolitical - Courts,110,Regional,Bremen,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Bremen,
Geopolitical - Courts,111,Regional,Hamburg,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Hamburg,
Geopolitical - Courts,112,Regional,Hessen,State Labor Court,Landesarbeitsgericht,Hessisches Landesarbeitsgericht,
Geopolitical - Courts,113,Regional,Mecklenburg-Vorpommern,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Mecklenburg-Vorpommern,
Geopolitical - Courts,114,Regional,Niedersachsen,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Niedersachsen,
Geopolitical - Courts,115,Regional,Düsseldorf,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Düsseldorf,
Geopolitical - Courts,116,Regional,Hamm,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Hamm,
Geopolitical - Courts,117,Regional,Köln,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Köln,OLG Karlsruhe
Geopolitical - Courts,118,Regional,Rheinland-Pfalz,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Rheinland-Pfalz,OLG Stuttgart
Geopolitical - Courts,119,Regional,Saarland,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Saarland,OLG Bamberg
Geopolitical - Courts,120,Regional,Sächsisches,State Labor Court,Landesarbeitsgericht,Sächsisches Landesarbeitsgericht,OLG München
Geopolitical - Courts,121,Regional,Sachsen-Anhalt,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Sachsen-Anhalt,OLG Nürnberg
Geopolitical - Courts,122,Regional,Schleswig-Holstein,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Schleswig-Holstein,KG
Geopolitical - Courts,123,Regional,Thüringen,State Labor Court,Landesarbeitsgericht,Thüringer Landesarbeitsgericht,
Geopolitical - Courts,124,Supreme Court,Federal,Supreme Tax Court,Bundesfinanzhof,Bundesfinanzhof,
Geopolitical - Courts,125,Regional,Baden-Württemberg,Tax Court,Finanzgericht,Finanzgericht Baden-Württemberg,HansOLG; Hans OLG
Geopolitical - Courts,126,Regional,München,Tax Court,Finanzgericht,Finanzgericht München,OLG Frankfurt
Geopolitical - Courts,127,Regional,Nürnberg,Tax Court,Finanzgericht,Finanzgericht Nürnberg,OLG Rostock
Geopolitical - Courts,128,Regional,Berlin-Brandenburg,Tax Court,Finanzgericht,Finanzgericht Berlin-Brandenburg,
Geopolitical - Courts,129,Regional,Bremen,Tax Court,Finanzgericht,Finanzgericht Bremen,
Geopolitical - Courts,130,Regional,Hamburg,Tax Court,Finanzgericht,Finanzgericht Hamburg,
Geopolitical - Courts,131,Regional,Hessen,Tax Court,Finanzgericht,Hessisches Finanzgericht,
Geopolitical - Courts,132,Regional,Mecklenburg-Vorpommern,Tax Court,Finanzgericht,Finanzgericht Mecklenburg-Vorpommern,
Geopolitical - Courts,133,Regional,Niedersachsen,Tax Court,Finanzgericht,Niedersächsisches Finanzgericht,
Geopolitical - Courts,134,Regional,Düsseldorf,Tax Court,Finanzgericht,Finanzgericht Düsseldorf,
Geopolitical - Courts,135,Regional,Köln,Tax Court,Finanzgericht,Finanzgericht Köln,
Geopolitical - Courts,136,Regional,Münster,Tax Court,Finanzgericht,Finanzgericht Münster,
Geopolitical - Courts,137,Regional,Rheinland-Pfalz,Tax Court,Finanzgericht,Finanzgericht Rheinland-Pfalz,
Geopolitical - Courts,138,Regional,Saarland,Tax Court,Finanzgericht,Finanzgericht des Saarlandes,
Geopolitical - Courts,139,Regional,Sächsisches,Tax Court,Finanzgericht,Sächsisches Finanzgericht,
Geopolitical - Courts,140,Regional,Sachsen-Anhalt,Tax Court,Finanzgericht,Finanzgericht des Landes Sachsen-Anhalt,
