Term Locale,Term Type,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,Committee on Foreign Investment in the United States,,FALSE
en-US,Geopolitical - Agencies,Commodity Futures Trading Commission,CFTC,FALSE
en-US,Geopolitical - Agencies,Community Oriented Policing Services,COPS,FALSE
en-US,Geopolitical - Agencies,Community Planning and Development,,FALSE
en-US,Geopolitical - Agencies,Office of Compliance,,FALSE
en-US,Geopolitical - Agencies,Office of Comptroller of the Currency,OCC,FALSE
en-US,Geopolitical - Agencies,Computer Emergency Readiness Team,US CERT,FALSE
en-US,Geopolitical - Agencies,U.S. House of Representatives,,FALSE
en-US,Geopolitical - Agencies,U.S. Senate,,FALSE
en-US,Geopolitical - Agencies,Congressional Budget Office,CBO,FALSE
en-US,Geopolitical - Agencies,Congressional Research Service,,FALSE
en-US,Geopolitical - Agencies,Connecticut,,FALSE
en-US,Geopolitical - Agencies,Bureau of Consular Affairs,,FALSE
en-US,Geopolitical - Agencies,Consumer Financial Protection Bureau,,FALSE
en-US,Geopolitical - Agencies,Consumer Product Safety Commission,CPSC,FALSE
en-US,Geopolitical - Agencies,Coordinating Council on Juvenile Justice and Delinquency Prevention,,FALSE
en-US,Geopolitical - Agencies,Copyright Office,,FALSE
en-US,Geopolitical - Agencies,Corporation for National and Community Service,,FALSE
en-US,Geopolitical - Agencies,Corps of Engineers,,FALSE
en-US,Geopolitical - Agencies,Council of Economic Advisers,,FALSE
en-US,Geopolitical - Agencies,Council of the Inspectors General on Integrity and Efficiency,,FALSE
en-US,Geopolitical - Agencies,Council on Environmental Quality,,FALSE
en-US,Geopolitical - Agencies,Court Services and Offender Supervision Agency for the District of Columbia,,FALSE
en-US,Geopolitical - Agencies,Court of Appeals for Veterans Claims,,FALSE
en-US,Geopolitical - Agencies,Court of Appeals for the Armed Forces,,FALSE
en-US,Geopolitical - Agencies,Court of Appeals for the Federal Circuit,,FALSE
en-US,Geopolitical - Agencies,Court of Federal Claims,,FALSE
en-US,Geopolitical - Agencies,Court of International Trade,,FALSE
en-US,Geopolitical - Agencies,Customs and Border Protection,,FALSE
en-US,Geopolitical - Agencies,Defense Acquisition University,,FALSE
en-US,Geopolitical - Agencies,Defense Advanced Research Projects Agency,DARPA,FALSE
en-US,Geopolitical - Agencies,Defense Commissary Agency,,FALSE
en-US,Geopolitical - Agencies,Defense Contract Audit Agency,,FALSE
