Term Locale,Term Category,Term,Alias,Case Sensitive,418
en-US,Utah Regulators,Public Service Commission of Utah,,FALSE,
en-US,Utah Regulators,Utah Department of Environmental Quality,,FALSE,
en-US,Utah Regulators,Utah Department of Human Services,DHS,FALSE,
en-US,Utah Regulators,Utah Department of Public Safety,DPS,FALSE,
en-US,Utah Regulators,Utah Division of Juvenile Justice Services,JJS,FALSE,
en-US,Utah Regulators,Utah housing corporation,UHC,FALSE,
en-US,Utah Regulators,Utah Science Technology and Research Initiative,USTAR,FALSE,
en-US,Utah Regulators,Utah Seismic Safety Commission,USSC,FALSE,
en-US,Vermont Regulators,Vermont Agency of Agriculture Food and Markets,VAAFM,FALSE,
en-US,Vermont Regulators,Vermont Agency of Commerce and Community Development,ACCD,FALSE,
en-US,Vermont Regulators,Vermont Agency of Education,,FALSE,
en-US,Vermont Regulators,Vermont Agency of Human Services,AHS ,FALSE,
en-US,Vermont Regulators,Vermont Agency of Transportation,VTrans,FALSE,
en-US,Vermont Regulators,Vermont Department for Children and Families,DCF,FALSE,
en-US,Vermont Regulators,Vermont Department of Liquor Control,,FALSE,
en-US,Vermont Regulators,Vermont Department of Motor Vehicles,DMV,FALSE,
en-US,Vermont Regulators,Vermont Public Service Board,PUC; Public Utility Commission,FALSE,
en-US,Vermont Regulators,Vermont Public Service Department,PSD,FALSE,
en-US,Virginia Regulators,Commonwealth Transportation Board,CTB; State Highway and Transportation Board,FALSE,
en-US,Virginia Regulators,State Corporation Commission,SCC,FALSE,
en-US,Virginia Regulators,Virginia Alcoholic Beverage Control Board,Virginia ABC,FALSE,
en-US,Virginia Regulators,Virginia Board of Game and Inland Fisheries,VDGIF,FALSE,
en-US,Virginia Regulators,Virginia Board of Health,,FALSE,
en-US,Virginia Regulators,Virginia Commission for the Arts,VCA,FALSE,
en-US,Virginia Regulators,Virginia Commission on Constitutional Government,,FALSE,
en-US,Virginia Regulators,Virginia Department of Agriculture and Consumer Services,VDACS,FALSE,
en-US,Virginia Regulators,Virginia Department of Conservation and Recreation,DCR,FALSE,
en-US,Virginia Regulators,Virginia Department of Education,VDOE,FALSE,
en-US,Virginia Regulators,Virginia Department of Forestry,VDOF,FALSE,
en-US,Virginia Regulators,Virginia Department of Game and Inland Fisheries,VDGIF,FALSE,
en-US,Virginia Regulators,Virginia Department of Health,VDH,FALSE,
en-US,Virginia Regulators,Virginia Department of Historic Resources,,FALSE,
en-US,Virginia Regulators,Virginia Department of Juvenile Justice,DJJ,FALSE,
en-US,Virginia Regulators,"Virginia Department of Mental Health, Mental Retardation, and Substance Abuse",DMHMRSAS,FALSE,
en-US,Virginia Regulators,Virginia Department of Motor Vehicles,Virginia DMV,FALSE,
en-US,Virginia Regulators,Virginia Department of Rail and Public Transportation,VDRPT,FALSE,
en-US,Virginia Regulators,Virginia Department of Transportation,VDOT,FALSE,
en-US,Virginia Regulators,Virginia Governor's Cabinet,,FALSE,
en-US,Virginia Regulators,Virginia Information Technologies Agency,VITA,FALSE,
en-US,Virginia Regulators,Virginia Lottery,,FALSE,
en-US,Virginia Regulators,Virginia Marine Resources Commission,VMRC ,FALSE,
en-US,Virginia Regulators,Virginia National Guard,,FALSE,
en-US,Virginia Regulators,Virginia State Board of Censors,,FALSE,
en-US,Virginia Regulators,Virginia State Board of Education,,FALSE,
en-US,Virginia Regulators,Virginia State Board of Elections,SBE,FALSE,
en-US,Virginia Regulators,Virginia Workers' Compensation Commission,VWC,FALSE,
en-US,Washington Regulators,Washington Military Department,,FALSE,
en-US,Washington Regulators,Washington State Board of Education,,FALSE,
en-US,Washington Regulators,Washington State Department of Archaeology and Historic Preservation,DAHP,FALSE,
en-US,Washington Regulators,Washington State Department of Corrections,WADOC,FALSE,
en-US,Washington Regulators,Washington State Department of Early Learning,DEL,FALSE,
en-US,Washington Regulators,Washington State Department of Ecology,Ecology,FALSE,
en-US,Washington Regulators,Washington State Department of Health,,FALSE,
en-US,Washington Regulators,Washington State Department of Information Services,DIS; Department of Information Services (Washington state),FALSE,
en-US,Washington Regulators,Washington State Department of Natural Resources,DNR,FALSE,
en-US,Washington Regulators,Washington State Department of Social and Health Services,DSHS,FALSE,
en-US,Washington Regulators,Washington State Department of Transportation,WSDOT; WashDOT,FALSE,
en-US,Washington Regulators,Washington State Gambling Commission,,FALSE,
en-US,Washington Regulators,Washington State Higher Education Coordinating Board,,FALSE,
en-US,Washington Regulators,Washington State Institute for Public Policy,,FALSE,
en-US,Washington Regulators,Washington State Office of Education Ombudsman,,FALSE,
en-US,Washington Regulators,Washington State Office of Superintendent of Public Instruction,,FALSE,
en-US,Washington Regulators,Washington State Office of the Insurance Commissioner,,FALSE,
en-US,Washington Regulators,Washington State Public Disclosure Commission,,FALSE,
en-US,Washington Regulators,Washington State Public Stadium Authority,,FALSE,
en-US,Washington Regulators,Washington Talking Book & Braille Library,WTBBL,FALSE,
en-US,Washington Regulators,Washington Toll Bridge Authority,,FALSE,
en-US,Washington Regulators,Washington Utilities and Transportation Commission,UTC,FALSE,
en-US,West Virginia Regulators,University System of West Virginia,,FALSE,
en-US,West Virginia Regulators,West Virginia Department of Administration,,FALSE,
en-US,West Virginia Regulators,West Virginia Department of Agriculture,WVDA,FALSE,
en-US,West Virginia Regulators,West Virginia Department of Commerce,,FALSE,
en-US,West Virginia Regulators,West Virginia Department of Education,WVDE,FALSE,
en-US,West Virginia Regulators,West Virginia Department of Environmental Protection,WVDEP ,FALSE,
en-US,West Virginia Regulators,West Virginia Department of Health and Human Resources,DHHR,FALSE,
en-US,West Virginia Regulators,West Virginia Department of Transportation,,FALSE,
en-US,West Virginia Regulators,West Virginia Department of Veterans Assistance,WVDVA,FALSE,
en-US,West Virginia Regulators,West Virginia Division of Forestry,,FALSE,
en-US,West Virginia Regulators,West Virginia Division of Juvenile Services,WVDJS,FALSE,
en-US,West Virginia Regulators,West Virginia Division of Natural Resources,WVDNR,FALSE,
en-US,West Virginia Regulators,West Virginia Lottery,,FALSE,
en-US,West Virginia Regulators,West Virginia National Guard,,FALSE,
en-US,West Virginia Regulators,West Virginia Public Service Commission,Public Utilities Commission of the State of West Virginia,FALSE,
en-US,Wisconsin Regulators,Office of the Commissioner of Railroads,RR,FALSE,
en-US,Wisconsin Regulators,Wisconsin Board of Commissioners of Public Lands,,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Administration,,FALSE,
en-US,Wisconsin Regulators,"Wisconsin Department of Agriculture, Trade and Consumer Protection",,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Children and Families,WisDCF,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Corrections,,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Health Services,WisDHS,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Natural Resources,WDNR,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Public Instruction,,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Revenue,,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Tourism,,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Transportation,WisDOT,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Veterans Affairs,,FALSE,
en-US,Wisconsin Regulators,Wisconsin Department of Workforce Development,DWD,FALSE,
en-US,Wisconsin Regulators,Wisconsin Educational Communications Board,WECB,FALSE,
en-US,Wisconsin Regulators,Wisconsin Lottery,,FALSE,
en-US,Wisconsin Regulators,Wisconsin Office of State Employment Relations,,FALSE,
en-US,Wisconsin Regulators,Wisconsin Public Service Commission,Public Service Commission of Wisconsin (PSC); PSCW; Public Service Commission of Wisconsin; PSC,FALSE,
en-US,Wisconsin Regulators,Wisconsin Sentencing Commission,TAC,FALSE,
en-US,Wisconsin Regulators,Wisconsin Tax Appeals Commission,,FALSE,
en-US,Wyoming Regulators,Wyoming Board of Charities and Reform,BCR,FALSE,
en-US,Wyoming Regulators,Wyoming Business Council,,FALSE,
en-US,Wyoming Regulators,Wyoming Department of Education,WDE,FALSE,
en-US,Wyoming Regulators,Wyoming Department of Environmental Quality,DEQ,FALSE,
en-US,Wyoming Regulators,Wyoming Department of Family Services,,FALSE,
en-US,Wyoming Regulators,Wyoming Department of Health,WDH,FALSE,
en-US,Wyoming Regulators,Wyoming Department of Revenue,,FALSE,
en-US,Wyoming Regulators,Wyoming Department of Transportation,WYDOT,FALSE,
en-US,Wyoming Regulators,Wyoming Division of State Parks and Historic Sites,,FALSE,
en-US,Wyoming Regulators,Wyoming Lottery,,FALSE,
en-US,Wyoming Regulators,Wyoming Military Department,WYMD,FALSE,
en-US,Wyoming Regulators,Wyoming Public Service Commission,,FALSE,
en-US,Wyoming Regulators,Wyoming Workforce Development Council,WWDC,FALSE,
