Term Locale,Term Category,Subcategory,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado State Public Defender,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Water Conservation Board,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Water Quality Control Division,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Division of Youth Corrections,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Health Care Policy and Financing,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Labor and Employment,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Local Affairs,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Personnel and Administration,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Public Health and Environment,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Public Safety,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Public Utilities Commission,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Regents of the University of Colorado,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Regulatory Agencies,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Scientific and Cultural Facilities District,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Task Force on the Implementation of Amendment 64,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Department of Children and Families,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Department of Developmental Services,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Department of Emergency Management and Homeland Security,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Department of Energy and Environmental Protection,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Department of Motor Vehicles,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Distance Learning Consortium,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Liquor Division,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Lottery,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Military Department,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut Siting Council,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut State Capitol Police,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut State Library,,FALSE
en-US,Geopolitical - Agencies,Connecticut Agencies,Connecticut State Department of Education,,FALSE
en-US,Geopolitical - Agencies,Delaware Agencies,Delaware Department of Education,,FALSE
en-US,Geopolitical - Agencies,Delaware Agencies,"Delaware Department of Services for Children, Youth, and Their Families",,FALSE
en-US,Geopolitical - Agencies,Delaware Agencies,Delaware Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Delaware Agencies,Delaware Geological Survey,,FALSE
en-US,Geopolitical - Agencies,Delaware Agencies,Delaware Lottery,,FALSE
en-US,Geopolitical - Agencies,Delaware Agencies,Delaware Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Delaware Agencies,Delaware State Parks,,FALSE
en-US,Geopolitical - Agencies,Delaware Agencies,Delaware Department of Natural Resources and Environmental Control,,FALSE
en-US,Geopolitical - Agencies,Delaware Agencies,Delaware State Police,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Juvenile Justice,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Financial Services,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida College System,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Agriculture and Consumer Services,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Air and Water Pollution Control,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Business and Professional Regulation,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Children and Families,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Citrus,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Education,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Environmental Protection,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Environmental Regulation,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Health,,FALSE
