Term Category,Chemical (en-US),Chemical (en-GB),Chemical (de-DE),Chemical (es-ES),Chemical (fr-FR),Alias,Case Sensitive
Scientific - Chemicals,Monocalcium phosphate,Monocalcium phosphate,Calciumdihydrogenphosphat; Monocalciumphosphat; Monokalziumphosphat, fosfato de monocalcio,phosphate monocalcique,Acid calcium phosphate; Calcium acid phosphate; Calcium diorthophosphate; Calcium biphosphate; Calcium superphosphate; Monobasic calcium phosphate; Monocalcium orthophosphate; Phosphoric acid; calcium salt,FALSE
Scientific - Chemicals,calcium sulfate anhydrous,calcium sulfate anhydrous,Calciumsulfat,Sulfato de calcio,Sulfate de calcium,,FALSE
Scientific - Chemicals,calcium sulfate hemihydrate,calcium sulfate hemihydrate,Bassanit,Bassanita,Bassanite,,FALSE
Scientific - Chemicals,camphor,camphor,Campher,Alcanfor,Camphre,,FALSE
Scientific - Chemicals,candle hardener,candle hardener,Tristearin,Estearina,Tristéarine,,FALSE
Scientific - Chemicals,carbamide,carbamide,Harnstoff,Urea,Urée; carbamide ,urea,FALSE
Scientific - Chemicals,carbon dioxide,carbon dioxide,Kohlenstoffdioxid; Kohlendioxid ,Dióxido de carbono,Dioxyde de carbone,,FALSE
Scientific - Chemicals,carbon steel,carbon steel,Kohlenstoffstahl,Acero al carbono,Acier au carbone,,FALSE
Scientific - Chemicals,carbonic acid,carbonic acid,Kohlensäure,Ácido carbónico,Acide carbonique,Phenol,FALSE
Scientific - Chemicals,carrageenan,carrageenan,Carrageen,Carragenano,Carraghénane,,FALSE
Scientific - Chemicals,casting resin,casting resin,Gießharz,resina de moldeo,résine de coulée; résine de scellement,,FALSE
Scientific - Chemicals,caustic potash,caustic potash,Kaliumhydroxid,Hidróxido de potasio,Hydroxyde de potassium,,FALSE
Scientific - Chemicals,caustic soda,caustic soda,Natriumhydroxid,Hidróxido de sodio,Hydroxyde de sodium,lye; Sodium hydroxide,FALSE
Scientific - Chemicals,cellulose,cellulose,Cellulose,Celulosa,Cellulose,,FALSE
Scientific - Chemicals,cellulose thinner,cellulose thinner,Nitroverdünner; Nitroverdünnung,diluyente para nitrocelulósicas; diluyente de celulosa ,diluant nitrique; diluant nitro,,FALSE
Scientific - Chemicals,charcoal,charcoal,Holzkohle,Carbón vegetal,Charbon de bois,,FALSE
Scientific - Chemicals,chile saltpeter,chile saltpetre,Nitronatrit; Chilesalpeter,Nitratina; salitre de chile,salpêtre chili,Sodium nitrate,FALSE
Scientific - Chemicals,chromium oxide,chromium oxide,Chromoxid,Óxido de cromo,oxyde de chrome,,FALSE
Scientific - Chemicals,citric acid,citric acid,Citronensäure,Ácido cítrico,Acide citrique,,FALSE
Scientific - Chemicals,copper,copper,Kupfer,Cobre,Cuivre,,FALSE
Scientific - Chemicals,copper naphthenate,copper naphthenate,Naphthensäure,naftenato de cobre,naphténate de cuivre,Naphthenic acid,FALSE
Scientific - Chemicals,copper sulfate,copper sulfate,Kupfersulfat,Sulfato de cobre (II),Sulfate de cuivre,"Copper sulfate pentahydrate; cupric sulfate, copper(II) sulfate; copper sulphate",FALSE
Scientific - Chemicals,copperas,copperas; Iron(ii) sulphate,Eisen(II)-sulfat,Sulfato de hierro (II),Sulfate de fer(II),Hydrated ferrous sulfate; iron(II) sulphate; ferrous sulfate,FALSE
Scientific - Chemicals,corn starch,corn starch,Stärke,Maicena,fécule de maïs; amidon de maïs,,FALSE
Scientific - Chemicals,corn syrup,corn syrup,Maissirup,Jarabe de maíz,Sirop de maïs,,FALSE
Scientific - Chemicals,Potassium hydrogen tartrate,Potassium hydrogen tartrate,Weinstein,Bitartrato de potasio,Bitartrate de potassium,cream of tartar,FALSE
Scientific - Chemicals,cupric sulfate,cupric sulfate,Kupfersulfat,Sulfato de cobre (II),Sulfate de cuivre,,FALSE
Scientific - Chemicals,cyanuric acid,cyanuric acid,Cyanursäure,ácido cianúrico,acide cyanurique,"1,3,5-Triazinetriol; s-Triazinetriol; s-Triazinetrione; Tricarbimide; Isocyanuric acid;  Pseudocyanuric acid",FALSE
Scientific - Chemicals,darkroom chemical,darkroom chemical,Dunkelkammer,químico de cuarto oscuro,chambre noire chimique,,FALSE
Scientific - Chemicals,degreaser,degreaser,Teilereinigung; Entfetter; Entfettungsmittel; Fettlöser,desengrasante,dégraissant; dégraisseur,,FALSE
