Term Category,Chemical (en-US),Chemical (en-GB),Chemical (de-DE),Chemical (es-ES),Chemical (fr-FR),Alias,Case Sensitive
Scientific - Chemicals,soda ash,soda ash,Natriumcarbonat,Carbonato de sodio,Carbonate de sodium,washing soda; Sodium carbonate,FALSE
Scientific - Chemicals,sodium acetate,sodium acetate,Natriumacetat,Acetato de sodio,Acétate de sodium,,FALSE
Scientific - Chemicals,sodium bicarbonate,sodium bicarbonate,Natriumhydrogencarbonat,Bicarbonato de sodio,Bicarbonate de sodium,Alka Seltzer; baking powder,FALSE
Scientific - Chemicals,sodium bisulfate,sodium bisulfate,Natriumhydrogensulfat,Bisulfato de sodio,Hydrogénosulfate de sodium,,FALSE
Scientific - Chemicals,sodium borate,sodium borate,BORAX-Experimente,borato sódico; borato de sodio,borate de sodium,,FALSE
Scientific - Chemicals,sodium bromide,sodium bromide,Natriumbromid,Bromuro de sodio,Bromure de sodium,,FALSE
Scientific - Chemicals,sodium carbonate peroxyhydrate,sodium carbonate peroxyhydrate,Natriumpercarbonat; Natrium Perkarbonat Wasserstoff Peroxid,percarbonato de sodio,Percarbonate de sodium,,FALSE
Scientific - Chemicals,sodium chlorate,sodium chlorate,Natriumchlorat,Clorato de sodio,Chlorate de sodium,,FALSE
Scientific - Chemicals,sodium chloride,sodium chloride,Natriumchlorid,Cloruro de sodio,Chlorure de sodium,,FALSE
Scientific - Chemicals,sodium fluoride,sodium fluoride,Natriumfluorid,Fluoruro sódico,Fluorure de sodium,,FALSE
Scientific - Chemicals,sodium hexametaphosphate,sodium hexametaphosphate,Natriumhexametaphosphat,Hexametafosfato Sódico,Hexamétaphosphate de sodium,,FALSE
Scientific - Chemicals,sodium metabisulfite,sodium metabisulfite,Natriumdisulfit,Disulfito de sodio,Métabisulfite de sodium,,FALSE
Scientific - Chemicals,sodium phosphate,sodium phosphate,Natriumphosphat,Fosfato sódico,Phosphate de sodium,,FALSE
Scientific - Chemicals,sodium silicate,sodium silicate,Natriumsilicate,Silicato sódico,Silicate de sodium,,FALSE
Scientific - Chemicals,sodium sulfate,sodium sulfate,Natriumsulfat,Sulfato de sodio,Sulfate de sodium,,FALSE
Scientific - Chemicals,sodium sulfite,sodium sulfite,Natriumsulfit,Sulfito de sodio,Sulfite de sodium,,FALSE
Scientific - Chemicals,sodium tetraborate decahydrate,sodium tetraborate decahydrate,BORAX-Experimente; Natriumtetraborat-Decahydrat,"BORAX-I; 
tetraborato de sodio decahidratado", tétraborate de sodium décahydrate,borax,FALSE
Scientific - Chemicals,sodium thiosulfate,sodium thiosulfate,Natriumthiosulfat,Tiosulfato de sodio,Thiosulfate de sodium,,FALSE
Scientific - Chemicals,soldering flux,soldering flux,Flussmittel; Lötflussmittel,soldadura ,soudage tendre,,FALSE
Scientific - Chemicals,sour salt,sour salt,Citronensäure,Ácido cítrico,Acide citrique,,FALSE
Scientific - Chemicals,stainless steel,stainless steel,Rostfreier Stahl,Acero inoxidable,Acier inoxydable,,FALSE
Scientific - Chemicals,stearic acid,stearic acid,Stearinsäure,Ácido esteárico,Acide stéarique,,FALSE
Scientific - Chemicals,steel,steel,Stahl,Acero,Acier,,FALSE
Scientific - Chemicals,styptic pencils,styptic pencils,Alaunstift; Alaunstein,lapiz estíptico,crayon styptique,,FALSE
Scientific - Chemicals,sucrose,sucrose,Saccharose,Sacarosa,Saccharose,sugar,FALSE
Scientific - Chemicals,sulfate of iron,sulfate of iron,Eisen(II)-sulfat,Sulfato de hierro (II),Sulfate de fer(II),,FALSE
Scientific - Chemicals,sulfur,sulfur,Schwefel,Azufre,Soufre,sulphur,FALSE
Scientific - Chemicals,superphosphate,superphosphate,Calciumdihydrogenphosphat; Superphosphat,superfosfato,superphosphate,,FALSE
Scientific - Chemicals,talc,talc,Talk,Talco,Talc,,FALSE
Scientific - Chemicals,tannic acid,tannic acid,Gerbsäure,Ácido tánico,Acide tannique,,FALSE
Scientific - Chemicals,tannin,tannin,Tannine,Tanino,Tanin,,FALSE
Scientific - Chemicals,tartaric acid,tartaric acid,Weinsäure,Ácido tartárico,Acide tartrique,,FALSE
Scientific - Chemicals,tetrachloroethylene,tetrachloroethylene,Tetrachlorethen,Tetracloroetileno,Perchloroéthylène,tetrachloroethene,FALSE
Scientific - Chemicals,tetrafluoroethane,tetrafluoroethane,"1,1,1,2-Tetrafluorethan;  tetrafluoroethane",Tetrafluoretano,"1,1,1,2-Tétrafluoroéthane; Tétrafluoroéthane",,FALSE
Scientific - Chemicals,thickening agent,thickening agent,Verdickungsmittel,Espesante,Épaississant,,FALSE
Scientific - Chemicals,thiocarbamide,thiocarbamide,Thioharnstoff,tiocarbamida,Thiocarbamide,,FALSE
Scientific - Chemicals,thiourea,thiourea,Thioharnstoff,tiourea,Thiocarbamide,,FALSE
Scientific - Chemicals,thymolphthalein,thymolphthalein,Thymolphthalein,Timolftaleína,Thymolphtaléine,,FALSE
Scientific - Chemicals,titanium dioxide,titanium dioxide,Titan(IV)-oxid,Óxido de titanio (IV),Dioxyde de titane,,FALSE
Scientific - Chemicals,titanium white,titanium white,Titan(IV)-oxid,Óxido de titanio (IV),Dioxyde de titane,,FALSE
Scientific - Chemicals,toluene,toluene,Toluol,Tolueno,Toluène,Toluol,FALSE
Scientific - Chemicals,trichloroethane,trichloroethane,Trichlorethan,tricloroetano,Trichloroéthane,methyl chloroform,FALSE
Scientific - Chemicals,trichloroethylene,trichloroethylene,Trichlorethen,Tricloroetileno,Trichloréthylène,,FALSE
Scientific - Chemicals,trisodium phosphate,trisodium phosphate,Natriumphosphat,Fosfato trisódico,Phosphate de sodium,TSP,FALSE
Scientific - Chemicals,tungsten,tungsten,Wolfram,tungsteno; volframio; volframio,Tungstène,,FALSE
Scientific - Chemicals,turpentine,turpentine,Terpentinöl,Aguarrás,Essence de térébenthine,,FALSE
Scientific - Chemicals,water,water,Wasser,agua,Eau,H2O,FALSE
Scientific - Chemicals,water glass,water glass,Natriumsilicate,Silicato sódico,Silicate de sodium,,FALSE
Scientific - Chemicals,whipping gas,whipping gas,Schlagsahne,Nata montada,Crème chantilly,,FALSE
Scientific - Chemicals,white vinegar,white vinegar,Essig,Vinagre,Vinaigre,,FALSE
Scientific - Chemicals,wine preservative,wine preservative,Weinkonservierungsmittel,conservante de vino,Weinkonservierungsmittel,,FALSE
Scientific - Chemicals,xylene,xylene,Xylole,Xileno,Xylène,,FALSE
Scientific - Chemicals,zinc chloride,zinc chloride,Zinkchlorid,Cloruro de cinc,Chlorure de zinc,#REF!,FALSE
Scientific - Chemicals,zinc oxide,zinc oxide,Zinkoxid,Óxido de cinc,Oxyde de zinc,,FALSE
Scientific - Chemicals,zinc sulfate,zinc sulfate,Zinksulfat,Sulfato de cinc,Sulfate de zinc,,FALSE
