Term Category,Element (en-US),Element (en-GB),Element (de-DE),Element (fr-FR),Element (es-ES),Symbol,Alias,Case Sensitive
Scientific - Elements,Nihonium,Nihonium,Nihonium; Niob,Nihonium,Nihonio,Nh,,FALSE
Scientific - Elements,Niobium,Niobium,Niob,Niobium,Niobio,Nb,,FALSE
Scientific - Elements,Nitrogen,Nitrogen,der Stickstoff,Azote,Nitrógeno,N,,FALSE
Scientific - Elements,Nobelium,Nobelium,Nobelium,Nobélium,Nobelio,No,,FALSE
Scientific - Elements,Oganesson,Oganesson,Oganesson,Oganesson,Ununoctio,Og,,FALSE
Scientific - Elements,Osmium,Osmium,Osmium,Osmium,Osmio,Os,,FALSE
Scientific - Elements,Oxygen,Oxygen,der Sauerstoff,Oxygène,Oxígeno,O,,FALSE
Scientific - Elements,Palladium,Palladium,Palladium,Palladium,Paladio,Pd,,FALSE
Scientific - Elements,Phosphorus,Phosphorus,der Phosphor,Phosphore,Fósforo,P,,FALSE
Scientific - Elements,Platinum,Platinum,Platin,Platine,Platino,Pt,,FALSE
Scientific - Elements,Plutonium,Plutonium,Plutonium,Plutonium,Plutonio,Pu,,FALSE
Scientific - Elements,Polonium,Polonium,Polonium,Polonium,Polonio,Po,,FALSE
Scientific - Elements,Potassium,Potassium,Kalium,Potassium,Potasio,K,,FALSE
Scientific - Elements,Praseodymium,Praseodymium,Praseodym,Praséodyme,Prosedímio,Pr,,FALSE
Scientific - Elements,Promethium,Promethium,Promethium,Prométhium,Promécio,Pm,,FALSE
Scientific - Elements,Protactinium,Protactinium,Protactinium,Protactinium,Protactínio,Pa,,FALSE
Scientific - Elements,Radium,Radium,Radium,Radium,Radio,Ra,,FALSE
Scientific - Elements,Radon,Radon,Radon,Radon,Radón,Rn,,FALSE
Scientific - Elements,Rhenium,Rhenium,Rhenium,Rhénium,Renio,Re,,FALSE
Scientific - Elements,Rhodium,Rhodium,Rhodium,Rhodium,Rodio,Rh,,FALSE
